"DATO","NUMMER","TYPE","SPRAK","REGDATO","MODDATO","TITTEL","KORT","OVERSETTER","KODER","BIBSYS","URL","NOTE","INOTE","UTGAVE"
"1934-06-22 00:00:00.0","5","LOV","ENG","1998-04-28 13:33:27.0","1998-04-28 13:33:27.0","Act of 22 June 1934 relating to the provisional ban on imports etc.","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 553","NULL"
"1937-04-16 00:00:00.0","0","LOV","NULL","1998-04-28 13:33:28.0","1998-04-28 13:33:28.0","Lov om fullmakt for Kongen, eller den han gjev fullmakt, til å forby at norske skip blir nytta til å føra folk som eslar seg i krig, våpen, loty, fly eller partar derav til framandland","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1937-04-16 00:00:00.0","0","LOV","ENG","1998-04-28 13:33:28.0","1998-04-28 13:33:28.0","Act of 16 April 1937 relating to prohibition against use of Norwegian ships for the conveyance of persons going to a foreign country to participate in war, and for transportation of arms, ammunition, aircraft or parts thereof to a foreign country","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 895","NULL"
"1939-02-17 00:00:00.0","2","LOV","NULL","1998-04-28 13:33:28.0","1998-04-28 13:33:28.0","Lov om deponering i gjeldshøve","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1939-02-17 00:00:00.0","2","LOV","ENG","1998-04-28 13:33:28.0","1998-04-28 13:33:28.0","Act of 17 February 1939 relating to the right to deposit an item of debt","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 941-942","NULL"
"1939-03-17 00:00:00.0","1","LOV","NULL","1998-04-28 13:33:28.0","1998-04-28 13:33:28.0","Lov om enkelte bestemmelser om fremmede statsskib m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1996-01-16 00:00:00.0","24","FORSKRIFT","NULL","2004-06-23 12:18:52.0","2004-06-23 12:18:52.0","Forskrift om nemnd for prøving av A/S Vinmonopolets beslutninger om innkjøp m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1996-01-16 00:00:00.0","24","FORSKRIFT","ENG","2004-06-23 12:20:03.0","2004-06-23 12:20:03.0","Regulation on a board to test A/S Vinmonopolet's purchases etc.","NULL","NULL","NULL","NULL","for-19960116-0024-eng.pdf","NULL","NULL","NULL"
"1990-02-13 00:00:00.0","105","FORSKRIFT","NULL","2002-04-19 00:00:00.0","2004-06-23 12:49:47.0","Forskrift om gjennomføring og utfylling av lov om offisiell statistikk og Statistisk sentralbyrå (statistikkloven)","Forskrift om statistikkloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1939-06-16 00:00:00.0","7","LOV","NULL","1998-04-28 13:33:29.0","1998-04-28 13:33:29.0","Lov om fangst av hval","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1939-06-16 00:00:00.0","7","LOV","ENG","1998-04-28 13:33:29.0","1998-04-28 13:33:29.0","Act of 16 June 1939 relating to whaling","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 902-904","NULL"
"1946-03-01 00:00:00.0","3","LOV","NULL","1998-04-28 13:33:29.0","1998-04-28 13:33:29.0","Lov om Den Norske Stats Husbank","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2004-03-05 00:00:00.0","11","LOV","NULL","2004-06-24 09:20:40.0","2004-06-24 09:20:40.0","Lov om gjennomføring og kontroll av EØS-avtalens konkurranseregler m.v.","EØS-konkurranseloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1946-07-05 00:00:00.0","2","LOV","NULL","1998-04-28 13:33:29.0","1998-04-28 13:33:29.0","Lov om erverv og bortfraktning av skip m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1946-07-05 00:00:00.0","2","LOV","ENG","1998-04-28 13:33:29.0","1998-04-28 13:33:29.0","Act of 5 July 1946 relating to acquisition and chartering of ships etc.","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 214-216","NULL"
"2002-06-28 00:00:00.0","651","FORSKRIFT","ENG","2016-01-13 14:46:28.0","2016-01-13 14:46:28.0","Regulations relating to a requirement to keep dogs on a leash in Svalbard","NULL","Ministry of Climate and Environment","NULL","NULL","https://www.regjeringen.no/en/dokumenter/regulations-relating-to-a-requirement-to/id512070/","NULL","NULL","NULL"
"2014-04-04 00:00:00.0","377","FORSKRIFT","NULL","2016-01-13 14:51:49.0","2016-01-13 14:51:49.0","Forskrift om større naturvernområder og fuglereservater på Svalbard videreført fra 1973","Forskrift om større naturvernområder på Svalbard","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1946-12-13 00:00:00.0","29","LOV","NULL","1998-04-28 13:33:30.0","1998-04-28 13:33:30.0","Mellombels lov om innførsleforbod","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1946-12-13 00:00:00.0","29","LOV","ENG","1998-04-28 13:33:30.0","1998-04-28 13:33:30.0","Provisional act of 13 December 1946 relating to the ban on imports","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 553-554","NULL"
"1946-12-13 00:00:00.0","30","LOV","NULL","1998-04-28 13:33:30.0","1998-04-28 13:33:30.0","Mellombels lov om utførsleforbod","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1946-12-13 00:00:00.0","30","LOV","ENG","1998-04-28 13:33:30.0","1998-04-28 13:33:30.0","Provisional act of 13 December 1946 relating to the ban on exports","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 554-555","NULL"
"1947-06-19 00:00:00.0","5","LOV","NULL","1998-04-28 13:33:30.0","1998-04-28 13:33:30.0","Lov om immunitet og privilegier for internasjonale organisasjoner m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1947-06-19 00:00:00.0","5","LOV","ENG","1998-04-28 13:33:30.0","1998-04-28 13:33:30.0","Act of 19 June 1947 relating to the immunity and privileges of international organizations","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 151","NULL"
"1993-04-30 00:00:00.0","40","LOV","NULL","1998-04-28 00:00:00.0","2004-06-23 14:00:54.0","Lov om registrert partnerskap","Partnerskapsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2014-04-04 00:00:00.0","377","FORSKRIFT","ENG","2016-01-13 14:53:10.0","2016-01-13 14:53:10.0","Regulations relating to large nature conservation areas and bird reserves in Svalbard as established in 1973","NULL","Ministry of Climate and Environment","NULL","NULL","https://www.regjeringen.no/en/dokumenter/regulation-nature-consrevation-areas-bird-reserves-svalbard/id2355095/","NULL","NULL","NULL"
"2007-04-30 00:00:00.0","599","FORSKRIFT","NULL","2016-01-13 14:56:06.0","2016-01-13 14:56:06.0","Forskrift om tilskudd fra Svalbards miljøvernfond","Forskrift om bruk av Svalbards miljøvernfond","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2007-04-30 00:00:00.0","599","FORSKRIFT","ENG","2016-01-13 14:57:09.0","2016-01-13 14:57:09.0","Regulations relating to grants from the Svalbard Environmental Protection Fund","NULL","Ministry of Climate and Environment","NULL","NULL","https://www.regjeringen.no/en/dokumenter/grants-svalbard-envrionment-fund/id750407/","NULL","NULL","NULL"
"2006-12-22 00:00:00.0","1532","FORSKRIFT","NULL","2016-01-13 14:59:27.0","2016-01-13 14:59:27.0","Forskrift om miljøavgift for tilreisende til Svalbard","Forskrift om miljøavgift for Svalbardturister","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2006-12-22 00:00:00.0","1532","FORSKRIFT","ENG","2016-01-13 15:00:14.0","2016-01-13 15:00:14.0","Regulation relating to an environment fee for visitors to Svalbard","NULL","Ministry of Climate and Environment","NULL","NULL","https://www.regjeringen.no/en/dokumenter/environment-fee/id512077/","NULL","NULL","NULL"
"2009-05-08 00:00:00.0","495","FORSKRIFT","NULL","2016-01-13 15:25:57.0","2016-01-13 15:25:57.0","Forskrift om Statens finansfond","Forskrift om Statens finansfond","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2001-06-15 00:00:00.0","75","LOV","NULL","2004-06-24 10:06:09.0","2004-06-24 10:06:09.0","Lov om veterinærer og annet dyrehelsepersonell","Veterinærloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2009-05-08 00:00:00.0","495","FORSKRIFT","ENG","2016-01-13 15:26:41.0","2016-01-13 15:26:41.0","Regulations relating to the Norwegian State Finance Fund.","NULL","Ministry of Finance","NULL","NULL","https://www.regjeringen.no/en/dokumenter/regulations-relating-to-the-norwegian-st/id560619/","NULL","NULL","NULL"
"2003-02-21 00:00:00.0","12","LOV","NULL","2004-06-24 10:26:43.0","2004-06-24 10:26:43.0","Lov om biobanker","Biobankloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1949-07-28 00:00:00.0","15","LOV","NULL","1998-04-28 13:33:31.0","1998-04-28 13:33:31.0","Lov om adgang for Kongen til å inngå overenskomster med fremmede stater til forebyggelse av dobbeltbeskatning m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1949-07-28 00:00:00.0","15","LOV","ENG","1998-04-28 13:33:31.0","1998-04-28 13:33:31.0","Act of 28 July 1949 relating to the power of the King to enter into agreements with foreign states for the avoidance of double taxation etc.","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 581-582","NULL"
"1951-07-06 00:00:00.0","4","LOV","NULL","1998-04-28 13:33:33.0","1998-04-28 13:33:33.0","Lov om Norges Krigsskaderåd","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1952-12-19 00:00:00.0","1","LOV","NULL","1998-04-28 13:33:33.0","1998-04-28 13:33:33.0","Lov om vern mot overføring av smittsom sykdom fra utlandet m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1952-12-19 00:00:00.0","1","LOV","ENG","1998-04-28 13:33:33.0","1998-04-28 13:33:33.0","Act of 19 December 1952 relating to measure to prevent spreading of infectious diseases etc. from abroad","The quarantine act","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 609-610","NULL"
"1952-12-19 00:00:00.0","2","LOV","NULL","1998-04-28 13:33:34.0","1998-04-28 13:33:34.0","Lov om adgang til rekvisisjon m.v. under krig eller kriseforhold","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1952-12-19 00:00:00.0","2","LOV","ENG","1998-04-28 13:33:34.0","1998-04-28 13:33:34.0","Act of 19 December 1952 relating to requisitioning of ships in time of war or in an emergency","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 216-217","NULL"
"1952-12-19 00:00:00.0","7","LOV","NULL","1998-04-28 13:33:34.0","1998-04-28 13:33:34.0","Lov om lønnsnemnd i arbeidstvister","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1970-05-29 00:00:00.0","33","LOV","FRE","1998-04-28 00:00:00.0","2004-02-14 11:23:56.0","Loi sur des modèles","NULL","NULL","NULL","NULL","lov-19700529-033-fre.pdf","Annulation: 2003-03-14","NULL","NULL"
"1970-05-29 00:00:00.0","33","LOV","NULL","1998-04-28 00:00:00.0","2004-02-13 15:42:17.0","Lov om mønster","Mønsterloven","NULL","NULL","NULL","NULL","Opphevet ved lov-2003-03-14-15","NULL","NULL"
"1970-05-29 00:00:00.0","33","LOV","ENG","2004-02-13 00:00:00.0","2004-02-13 15:43:47.0","Designs act","NULL","NULL","NULL","NULL","lov-19700529-033-eng.pdf","Annulled by Act-2003-03-14-15","NULL","As amended by Act no 2 of February 8, 1980"
"1970-05-29 00:00:00.0","33","LOV","GER","1998-04-28 00:00:00.0","2004-02-14 11:26:19.0","Gesetz über Muster","Mustergesetz","NULL","NULL","NULL","lov-19700529-033-ger.pdf","Aufhebung: 2003-03-14","NULL","NULL"
"1976-05-28 00:00:00.0","35","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 11:29:33.0","Lov om voksenopplæring","Voksenopplæringsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1976-05-28 00:00:00.0","35","LOV","ENG","1998-04-28 00:00:00.0","2004-02-14 11:30:24.0","Act on adult education","NULL","Royal Ministry of Education, Research and Church Affairs","NULL","NULL","lov-19760528-035-eng.pdf","NULL","NULL","As subsequently amended, most recently by Act no. 85 of 11 June 1993, entered into force from 1 January 1994"
"1976-12-17 00:00:00.0","91","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 11:33:46.0","Lov om Norges økonomiske sone","Økonomiske soneloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1976-12-17 00:00:00.0","91","LOV","ENG","1998-04-28 00:00:00.0","2004-02-14 11:34:56.0","Act relating to the economic zone of Norway","NULL","NULL","NULL","NULL","lov-19761217-091-eng.pdf","With supplement: Royal decree of 17th December 1976 relating to the establishment of the economic zone of Norway","NULL","NULL"
"1947-06-27 00:00:00.0","9","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 11:56:46.0","Lov om tiltak til å fremme sysselsetting","Sysselsettingsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2013-06-21 00:00:00.0","732","FORSKRIFT","NULL","2016-01-13 15:35:55.0","2016-01-13 15:35:55.0","Forskrift om universell utforming av informasjons- og kommunikasjonsteknologiske (IKT)-løsninger","Forskrift om universell utforming av IKT-løsninger","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1957-04-26 00:00:00.0","4","LOV","NULL","2003-10-20 00:00:00.0","2004-02-14 12:26:22.0","Lov om forskuttering av underhold til barn","Lov om bidragsforskudd","NULL","NULL","NULL","NULL","Opphevet ved lov-1989-02-17-2","NULL","NULL"
"1957-04-26 00:00:00.0","4","LOV","ENG","2003-10-20 00:00:00.0","2004-02-14 12:27:38.0","Act of 24 April, 1957 respecting advance payment of maintenance contributions","NULL","NULL","NULL","NULL","lov-19570426-004-eng.pdf","Annulled by Act-1989-02-17-2","NULL","With amendments las by Act of 16 June, 1971"
"1955-12-09 00:00:00.0","5","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 12:29:43.0","Lov om innkreving av underholdsbidrag m.v.","Bidragsinnkrevingsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1955-12-09 00:00:00.0","5","LOV","ENG","1998-04-28 00:00:00.0","2004-02-14 12:30:38.0","Act of 9 December 1955 respecting recovery of maintenance allowance","NULL","NULL","NULL","NULL","lov-19551209-005-eng.pdf","NULL","NULL","With amendments last of 19 June 1969"
"1953-07-17 00:00:00.0","29","LOV","NULL","1998-04-28 13:33:35.0","1998-04-28 13:33:35.0","Lov om verneplikt","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1953-07-17 00:00:00.0","29","LOV","ENG","1998-04-28 13:33:35.0","1998-04-28 13:33:35.0","Act of 17 July 1953 relating to compulsory military service","Compulsory military service act","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 80-87","NULL"
"1953-07-17 00:00:00.0","9","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 12:33:47.0","Lov om sivilforsvaret","Sivilforsvarsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1953-07-17 00:00:00.0","9","LOV","ENG","1998-04-28 00:00:00.0","2004-02-14 12:34:40.0","The Norwegian civil defence act","NULL","NULL","NULL","NULL","lov-19530717-009-eng.pdf","NULL","NULL","With amendments of June 19, 1969"
"1954-11-26 00:00:00.0","2","LOV","NULL","1998-04-28 13:33:36.0","1998-04-28 13:33:36.0","Lov om vaksinasjon","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1954-11-26 00:00:00.0","2","LOV","ENG","1998-04-28 13:33:36.0","1998-04-28 13:33:36.0","Act of 26 November 1954 relating to vaccination","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 613-614","NULL"
"1955-06-30 00:00:00.0","20","LOV","NULL","1998-04-28 13:33:36.0","1998-04-28 13:33:36.0","Lov om når norsk tenestemakt kan halda brudvigjing i utlandet og utenlandsk tenestemakt i Noreg","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1955-06-30 00:00:00.0","20","LOV","ENG","1998-04-28 13:33:36.0","1998-04-28 13:33:36.0","Act of 30 June 1955 relating to the authority of Norwegian public officials to solemnize marriage abroad, and of foreign public officials to solemnize marriage in Norway","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 784","NULL"
"1953-07-17 00:00:00.0","14","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 12:36:41.0","Lov om barnevern","Barnevernloven","NULL","NULL","NULL","NULL","Opphevet ved lov-1992-07-17-100","NULL","NULL"
"1953-07-17 00:00:00.0","14","LOV","ENG","1998-04-28 00:00:00.0","2004-02-14 12:38:00.0","Act no. 14 of 17 July 1953 relating to child welfare","NULL","NULL","NULL","NULL","lov-19530717-014-eng.pdf","Annulled by Act-1992-07-17-100","NULL","With amendments last of 1 April 1981"
"1954-11-12 00:00:00.0","1","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 12:40:05.0","Lov om styret i herreds- og bykommunene","Kommunestyreloven","NULL","NULL","NULL","NULL","opphevet ved lov-1992-09-25-107","NULL","NULL"
"1954-11-12 00:00:00.0","1","LOV","ENG","1998-04-28 00:00:00.0","2004-02-14 12:41:07.0","Act concerning local government in the urban district and the rural district municipalities","NULL","NULL","NULL","NULL","lov-19541112-001-eng.pdf","Annulled by Act-1992-09-24-107","NULL","With amendments of June 30th, 1967"
"1958-07-18 00:00:00.0","1","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 12:49:36.0","Lov om utenrikstjenesten","NULL","NULL","NULL","NULL","NULL","Opphevet ved lov-2002-05-03-13","NULL","NULL"
"1958-07-18 00:00:00.0","1","LOV","FRE","1998-04-28 00:00:00.0","2004-02-14 12:50:23.0","Loi rélative au service des affaires étrangeres","NULL","NULL","NULL","NULL","lov-19580718-001-fre.pdf","Annulation: 2002-05-03","NULL","NULL"
"1958-07-18 00:00:00.0","1","LOV","SPA","1998-04-28 00:00:00.0","2004-02-14 12:53:12.0","Ley des servicio exterior","NULL","NULL","NULL","NULL","lov-19580718-001-spa.pdf","Anulación: 2002-05-03","NULL","NULL"
"1958-07-18 00:00:00.0","1","LOV","GER","1998-04-28 00:00:00.0","2004-02-14 12:54:32.0","Gesetz über den Auswärtigen Dienst","NULL","NULL","NULL","NULL","lov-19580718-001-ger.pdf","Aufhebung: 2002-05-03","NULL","NULL"
"1958-12-12 00:00:00.0","10","LOV","NULL","1998-04-28 00:00:00.0","2004-02-14 13:25:45.0","Lov om yrkesskadetrygd","Yrkesskadetrygdloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2001-06-15 00:00:00.0","70","LOV","NULL","2004-02-16 13:12:28.0","2004-02-16 13:12:28.0","Lov om fastsetjing og endring av kommune- og fylkesgrenser","Inndelingslova","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1992-06-26 00:00:00.0","87","LOV","NULL","2004-02-16 13:33:23.0","2004-02-16 13:33:23.0","Lov om forsøk i offentlig forvaltning","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1992-09-25 00:00:00.0","107","LOV","NULL","1998-04-28 00:00:00.0","2004-02-16 13:36:11.0","Lov om kommuner og fylkeskommuner","Kommuneloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1959-05-28 00:00:00.0","12","LOV","NULL","1998-04-28 13:33:38.0","1998-04-28 13:33:38.0","Lov om kvalitetskontroll med fisk og fiskevarer o.a.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1960-12-16 00:00:00.0","1","LOV","NULL","1998-04-28 13:33:38.0","1998-04-28 13:33:38.0","Lov om luftfart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1960-12-16 00:00:00.0","1","LOV","ENG","1998-04-28 13:33:38.0","1998-04-28 13:33:38.0","Act of 16 December 1960 relating to aviation","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 492-499","NULL"
"1961-03-03 00:00:00.0","1","LOV","NULL","1998-04-28 13:33:39.0","1998-04-28 13:33:39.0","Lov om utlevering av lovbrytere til Danmark, Finnland, Island og Sverige","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1961-03-03 00:00:00.0","1","LOV","ENG","1998-04-28 13:33:39.0","1998-04-28 13:33:39.0","Act of 3 March 1961 relating to extradition of offenders to Denmark, Finland, Iceland and Sweden","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s.725-727","NULL"
"1961-03-23 00:00:00.0","1","LOV","NULL","1998-04-28 13:33:40.0","1998-04-28 13:33:40.0","Lov om forsvunne personer m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
