"id","created_at","updated_at","deleted_at","etternavn","fornavn","kjonn","fodt","dod","bibsys_id","wikidata_id"
1904,"2019-08-16 11:01:41","2019-08-16 11:01:41",,"Angell","Henrik","m",,,,
357,"2019-08-16 10:59:24","2019-08-16 11:03:52",,"Anker","Herman",,,,,
1112,"2019-08-16 11:00:04","2019-08-16 11:00:04",,"Anker","Nini Roll","f",,,,
1499,"2019-08-16 11:00:33","2019-08-16 11:00:33",,"Anker","Ella","f",,,,
2406,"2019-08-16 11:02:18","2019-08-16 11:02:18",,"Anker","Bernt Theodor","m",,,,
3470,"2019-08-16 11:03:53","2019-08-16 11:03:53",,"Anker","Øyvind","m",,,,
1307,"2019-08-16 11:00:14","2019-08-16 11:00:14",,"Anker-Paulsen","J.","m",,,,
1380,"2019-08-16 11:00:19","2019-08-16 11:00:19",,"Anker-Paulsen","John Olaf","m",,,,
1852,"2019-08-16 11:01:34","2019-08-16 11:01:34",,"Anker-Paulsen","Jacob","m",,,,
2418,"2019-08-16 11:02:19","2019-08-16 11:02:19",,"Anker-Poulsen","J.","m",,,,
3461,"2019-08-16 11:03:53","2019-08-16 11:03:53",,"Anouilh","Jean","m",,,,
3458,"2019-08-16 11:03:52","2019-08-16 11:03:52",,"Ansberg","Aleksej Bredstrøm","m",,,,
3680,"2019-08-16 11:03:56","2019-08-16 11:03:56",,"Anshen","Ruth Nanda",,,,,
2393,"2019-08-16 11:02:17","2019-08-16 11:02:17",,"Ansnes","Olav","m",,,,
2672,"2019-08-16 11:02:41","2019-08-16 11:02:41",,"Ansteinson","Ove Arthur","m",,,,
1222,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Ansteinsson","Ove Arthur","m",,,,
3937,"2019-08-16 11:04:02","2019-08-16 11:04:02",,"Anthi","Per","m",,,,
1833,"2019-08-16 11:01:33","2019-08-16 11:01:33",,"Anzengruber","Lundvig","m",,,,
4297,"2020-01-16 10:48:49","2020-01-16 10:48:49",,"Aragon","Louis","m",,,,
2034,"2019-08-16 11:01:53","2019-08-16 11:01:53",,"Arbo","Axel Christian Smith","m",,,,
47,"2019-08-16 10:59:17","2019-08-16 10:59:17",,"Arctander","A.M.St.","m",,,,
347,"2019-08-16 10:59:24","2019-08-16 10:59:24",,"Arctander","Adolf Mauritz Steenbock","m",,,,
1572,"2019-08-16 11:00:45","2019-08-16 11:00:45",,"Arctander","Adolf M.St.","m",,,,
2884,"2019-08-16 11:03:03","2019-08-16 11:03:03",,"Arctander","Regine","f",,,,
3604,"2019-08-16 11:03:55","2019-08-16 11:03:55",,"Arendt","Hannah","f",,,,
4263,"2019-08-16 11:04:08","2019-08-16 11:04:08",,"Arentz","Erik","m",,,,
490,"2019-08-16 10:59:29","2019-08-16 11:04:03",,"Aristofanes",,,,,,
1224,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Arkina","Nina","f",,,,
3155,"2019-08-16 11:03:47","2019-08-16 11:03:47",,"Armand","Eilif","m",,,,
562,"2019-08-16 10:59:32","2019-08-16 10:59:32",,"Arneberg","Ulrik Frederik","m",,,,
4172,"2019-08-16 11:04:06","2019-08-16 11:04:06",,"Arneberg","Per",,,,,
83,"2019-08-16 10:59:17","2019-08-16 10:59:17",,"Arnesen","M.","m",,,,
156,"2019-08-16 10:59:19","2019-08-16 10:59:19",,"Arnesen","Kr.A.","m",,,,
519,"2019-08-16 10:59:30","2019-08-16 10:59:30",,"Arnesen","H.","m",,,,
2035,"2019-08-16 11:01:53","2019-08-16 11:01:53",,"Arnesen","Martin","m",,,,
2188,"2019-08-16 11:02:07","2019-08-16 11:02:07",,"Arnesen","Odd","m",,,,
2385,"2019-08-16 11:02:17","2019-08-16 11:02:17",,"Arnesen","Jenny","f",,,,
2897,"2019-08-16 11:03:06","2019-08-16 11:03:06",,"Arnesen","David","m",,,,
2973,"2019-08-16 11:03:18","2019-08-16 11:03:18",,"Arnesen","Haakon","m",,,,
3716,"2019-08-16 11:03:57","2019-08-16 11:03:57",,"Arnesen","Aksel","m",,,,
1205,"2019-08-16 11:00:09","2019-08-16 11:00:09",,"Arntzen","Ragnar","m",,,,
2547,"2019-08-16 11:02:27","2019-08-16 11:02:27",,"Arntzen","Arvid B.","m",,,,
1500,"2019-08-16 11:00:33","2019-08-16 11:00:33",,"Arstal","Aksel","m",,,,
561,"2019-08-16 10:59:32","2019-08-16 10:59:32",,"Arup","Lars Christian","m",,,,
56,"2019-08-16 10:59:17","2019-08-16 10:59:17",,"Arvesen","O.","m",,,,
898,"2019-08-16 10:59:46","2019-08-16 10:59:46",,"Arvesen","Olaus","m",,,,
1059,"2019-08-16 10:59:59","2019-08-16 10:59:59",,"Arvesen","Ole","m",,,,
3448,"2019-08-16 11:03:52","2019-08-16 11:03:52",,"Arvidsson","Ingrid",,,,,
77,"2019-08-16 10:59:17","2019-08-16 10:59:17",,"Asbjørnsen","Peter Christen","m",,,,
1640,"2019-08-16 11:01:13","2019-08-16 11:01:13",,"Asch","Schalom","m",,,,
1921,"2019-08-16 11:01:42","2019-08-16 11:01:42",,"Askeland","A.M.","m",,,,
3777,"2019-08-16 11:03:58","2019-08-16 11:03:58",,"Askelund","Jan O.","m",,,,
1421,"2019-08-16 11:00:23","2019-08-16 11:00:23",,"Askevold","Mathias","m",,,,
3480,"2019-08-16 11:03:53","2019-08-16 11:04:07",,"Askildsen","Kjell","m",,,,
3609,"2019-08-16 11:03:55","2019-08-16 11:03:55",,"Askildsen","Arne",,,,,
1422,"2019-08-16 11:00:23","2019-08-16 11:00:23",,"Aslagsson","Olai","m",,,,
633,"2019-08-16 10:59:35","2019-08-16 10:59:35",,"Asp","Matilda","f",,,,
1226,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Aspelund","Alf Weltzin","m",,,,
2081,"2019-08-16 11:01:59","2019-08-16 11:01:59",,"Asperheim","Ole","m",,,,
2442,"2019-08-16 11:02:21","2019-08-16 11:02:21",,"Asphaug","Halfdan","m",,,,
1857,"2019-08-16 11:01:36","2019-08-16 11:01:36",,"Astrup","Eivind","m",,,,
465,"2019-08-16 10:59:29","2019-08-16 10:59:29",,"Aubert","V.","m",,,,
520,"2019-08-16 10:59:30","2019-08-16 10:59:30",,"Aubert","Andreas","m",,,,
716,"2019-08-16 10:59:39","2019-08-16 10:59:39",,"Aubert","L.M.B.","m",,,,
937,"2019-08-16 10:59:49","2019-08-16 10:59:49",,"Aubert","Elise","f",,,,
1424,"2019-08-16 11:00:23","2019-08-16 11:00:23",,"Aubert","Sossen","f",,,,
1469,"2019-08-16 11:00:29","2019-08-16 11:00:29",,"Aubert","O.J.","m",,,,
2088,"2019-08-16 11:02:00","2019-08-16 11:02:00",,"Aubert","Julius Henrik","m",,,,
2939,"2019-08-16 11:03:13","2019-08-16 11:03:13",,"Aubert","Vilhelm","m",,,,
3435,"2019-08-16 11:03:52","2019-08-16 11:03:52",,"Aubert",,,,,,
3919,"2019-08-16 11:04:01","2019-08-16 11:04:01",,"Aubert","William","m",,,,
2403,"2019-08-16 11:02:18","2019-08-16 11:02:18",,"Auckland","Hans","m",,,,
2587,"2019-08-16 11:02:31","2019-08-16 11:02:31",,"Audne","Kristoffer","m",,,,
533,"2019-08-16 10:59:31","2019-08-16 10:59:31",,"Auerbach","Berthold","m",,,,
1423,"2019-08-16 11:00:23","2019-08-16 11:00:23",,"Auerdahl","Thorleif","m",,,,
3677,"2019-08-16 11:03:56","2019-08-16 11:03:56",,"Augustinus","Aurelius","m",,,,
1836,"2019-08-16 11:01:33","2019-08-16 11:01:33",,"Auklend","Jon","m",,,,
1227,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Aukrust","Olav","m",,,,
559,"2019-08-16 10:59:32","2019-08-16 10:59:32",,"Aulie","Reidar","m",,,,
2831,"2019-08-16 11:02:58","2019-08-16 11:02:58",,"Aune","Herman","m",,,,
1631,"2019-08-16 11:01:13","2019-08-16 11:01:13",,"Aure","Anton","m",,,,
3554,"2019-08-16 11:03:54","2019-08-16 11:03:54",,"Aurelius","Marcus","m",,,,
3203,"2019-08-16 11:03:49","2019-08-16 11:03:49",,"Aurell","Tage","m",,,,
859,"2019-08-16 10:59:44","2019-08-16 10:59:44",,"Aurenes","O.","m",,,,
2665,"2019-08-16 11:02:40","2019-08-16 11:02:40",,"Austad","Olav","m",,,,
4178,"2019-08-16 11:04:07","2019-08-16 11:04:07",,"Austad","Tore","m",,,,
1908,"2019-08-16 11:01:41","2019-08-16 11:01:41",,"Austbø","Johan","m",,,,
2653,"2019-08-16 11:02:39","2019-08-16 11:02:39",,"Austen","Jane","f",,,,
1786,"2019-08-16 11:01:29","2019-08-16 11:01:29",,"Austlid","Andreas","m",,,,
1903,"2019-08-16 11:01:41","2019-08-16 11:01:41",,"Austlid","Johannes","m",,,,
2256,"2019-08-16 11:02:09","2019-08-16 11:02:09",,"Avdejenko","Alexander","m",,,,
3061,"2019-08-16 11:03:34","2019-08-16 11:03:34",,"Baardsen","Gjest","m",,,,
1713,"2019-08-16 11:01:21","2019-08-16 11:01:21",,"Baardseth","T.","m",,,,
2093,"2019-08-16 11:02:01","2019-08-16 11:02:01",,"Baartvedt","Alf","m",,,,
2948,"2019-08-16 11:03:13","2019-08-16 11:03:13",,"Baartveit","Alf","m",,,,
3062,"2019-08-16 11:03:34","2019-08-16 11:03:34",,"Bachke","Ole Andreas","m",,,,
1235,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Backe","Stein","m",,,,
2089,"2019-08-16 11:02:00","2019-08-16 11:02:00",,"Bagge","Halvor","m",,,,
3087,"2019-08-16 11:03:37","2019-08-16 11:03:37",,"Bahler","Ole J.","m",,,,
1641,"2019-08-16 11:01:14","2019-08-16 11:01:14",,"Bahr","Hermann","m",,,,
2577,"2019-08-16 11:02:30","2019-08-16 11:02:30",,"Bakkan","Engvald","m",,,,
991,"2019-08-16 10:59:53","2019-08-16 10:59:53",,"Bakke","Ole","m",,,,
2296,"2019-08-16 11:02:12","2019-08-16 11:02:12",,"Bakke","Jon","m",,,,
2827,"2019-08-16 11:02:58","2019-08-16 11:02:58",,"Bakke","G.P.","m",,,,
3588,"2019-08-16 11:03:55","2019-08-16 11:03:55",,"Bakke","Kari",,,,,
2301,"2019-08-16 11:02:13","2019-08-16 11:02:13",,"Bakken","Hallvard Sand","m",,,,
3761,"2019-08-16 11:03:58","2019-08-16 11:03:58",,"Baldwin","James","m",,,,
1501,"2019-08-16 11:00:33","2019-08-16 11:00:33",,"Balle","August","m",,,,
2588,"2019-08-16 11:02:31","2019-08-16 11:02:31",,"Balsmo","Bernhard","m",,,,
1123,"2019-08-16 11:00:05","2019-08-16 11:00:05",,"Balstad","Stein","m",,,,
596,"2019-08-16 10:59:33","2019-08-16 10:59:33",,"Balzac","Honore de","m",,,,
74,"2019-08-16 10:59:17","2019-08-16 10:59:17",,"Bang","Herman","m",,,,
212,"2019-08-16 10:59:20","2019-08-16 10:59:20",,"Bang","Chr.A.","m",,,,
273,"2019-08-16 10:59:21","2019-08-16 10:59:21",,"Bang","Anthon","m",,,,
392,"2019-08-16 10:59:26","2019-08-16 10:59:26",,"Bang","A.Chr.","m",,,,
555,"2019-08-16 10:59:32","2019-08-16 10:59:32",,"Bang","O.L.","m",,,,
1066,"2019-08-16 11:00:00","2019-08-16 11:00:00",,"Bang","J.","m",,,,
1237,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Bang","Ole","m",,,,
1642,"2019-08-16 11:01:14","2019-08-16 11:01:14",,"Bang","Oluf","m",,,,
2038,"2019-08-16 11:01:53","2019-08-16 11:01:53",,"Bang","Anthon Christian","m",,,,
2090,"2019-08-16 11:02:00","2019-08-16 11:02:00",,"Bang","Cathrinus Dorotheus Olivius","m",,,,
2105,"2019-08-16 11:02:03","2019-08-16 11:02:03",,"Bang","Ola","m",,,,
3416,"2019-08-16 11:03:52","2019-08-16 11:03:52",,"Bang","Karin",,,,,
3443,"2019-08-16 11:03:52","2019-08-16 11:03:52",,"Bang","Carl","m",,,,
4059,"2019-08-16 11:04:04","2019-08-16 11:04:04",,"Bang","Per","m",,,,
1239,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Bangsted","Helge","m",,,,
4288,"2020-01-16 10:23:34","2020-01-16 10:23:34",,"Barbusse","Henri","m",,,,
332,"2019-08-16 10:59:23","2019-08-16 10:59:23",,"Barca","Pedro Calderon de la","m",,,,
115,"2019-08-16 10:59:18","2019-08-16 10:59:18",,"Barfod","Fr.","m",,,,
1079,"2019-08-16 11:00:03","2019-08-16 11:00:03",,"Barfoed","Hans","m",,,,
2135,"2019-08-16 11:02:06","2019-08-16 11:02:06",,"Baroja","Pio","m",,,,
822,"2019-08-16 10:59:42","2019-08-16 10:59:42",,"Barstad","Johannes A.","m",,,,
1803,"2019-08-16 11:01:30","2019-08-16 11:01:30",,"Barstad","Johannes","m",,,,
880,"2019-08-16 10:59:45","2019-08-16 10:59:45",,"Barth","T.J.W.","m",,,,
1535,"2019-08-16 11:00:38","2019-08-16 11:00:38",,"Barth","Jacob Bøckmann","m",,,,
4121,"2019-08-16 11:04:05","2019-08-16 11:04:05",,"Basho","-",,,,,
4125,"2019-08-16 11:04:05","2019-08-16 11:04:05",,"Basho","Matsuo",,,,,
4051,"2019-08-16 11:04:04","2019-08-16 11:04:04",,"Bastiansen","Otto","m",,,,
1643,"2019-08-16 11:01:14","2019-08-16 11:01:14",,"Baudelaire","Charles","m",,,,
2865,"2019-08-16 11:03:01","2019-08-16 11:03:01",,"Bauditz","Sophus","m",,,,
3235,"2019-08-16 11:03:49","2019-08-16 11:03:49",,"Bauer","Ola","m",,,,
3583,"2019-08-16 11:03:55","2019-08-16 11:03:55",,"Bauge","Hans","m",,,,
2251,"2019-08-16 11:02:09","2019-08-16 11:02:09",,"Baum","Vicki","f",,,,
3401,"2019-08-16 11:03:52","2019-08-16 11:03:52",,"Baumann",,,,,,
3861,"2019-08-16 11:04:00","2019-08-16 11:04:00",,"Baumgartner","Walter","m",,,,
3436,"2019-08-16 11:03:52","2019-08-16 11:03:52",,"Bay",,,,,,
1825,"2019-08-16 11:01:32","2019-08-16 11:01:32",,"Bazin","Rene","m",,,,
3528,"2019-08-16 11:03:54","2019-08-16 11:03:59",,"Beckett","Samuel",,,,,
864,"2019-08-16 10:59:44","2019-08-16 10:59:44",,"Behrens","Carl","m",,,,
1758,"2019-08-16 11:01:25","2019-08-16 11:01:25",,"Behrens-Klausen",,"m",,,,
299,"2019-08-16 10:59:22","2019-08-16 10:59:22",,"Beinigen","Ole","m",,,,
2477,"2019-08-16 11:02:23","2019-08-16 11:02:23",,"Beinset","Anton","m",,,,
1425,"2019-08-16 11:00:23","2019-08-16 11:00:23",,"Bekker","Helga","f",,,,
3910,"2019-08-16 11:04:01","2019-08-16 11:04:01",,"Bellow","Saul","m",,,,
734,"2019-08-16 10:59:40","2019-08-16 10:59:40",,"Belsheim","J.","m",,,,
921,"2019-08-16 10:59:48","2019-08-16 10:59:48",,"Belsheim","Johannes","m",,,,
2179,"2019-08-16 11:02:07","2019-08-16 11:02:07",,"Bendow","Peter","m",,,,
3977,"2019-08-16 11:04:02","2019-08-16 11:04:02",,"Benes","Jan",,,,,
1240,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Benneche","Olaf","m",,,,
2776,"2019-08-16 11:02:53","2019-08-16 11:02:53",,"Benneche","Steen","m",,,,
2337,"2019-08-16 11:02:15","2019-08-16 11:02:15",,"Benterud","Aagot","f",,,,
398,"2019-08-16 10:59:26","2019-08-16 10:59:26",,"Bentsen","Halvor Andreas","m",,,,
1504,"2019-08-16 11:00:34","2019-08-16 11:00:34",,"Bentsen","Lars","m",,,,
3240,"2019-08-16 11:03:49","2019-08-16 11:03:49",,"Bentsen","Jan","m",,,,
281,"2019-08-16 10:59:22","2019-08-16 10:59:22",,"Bentzen","Ivar H.","m",,,,
2039,"2019-08-16 11:01:53","2019-08-16 11:01:53",,"Bentzen","Ivar Hirschblom","m",,,,
4060,"2019-08-16 11:04:04","2019-08-16 11:04:04",,"Bentzrud","Inger","f",,,,
834,"2019-08-16 10:59:43","2019-08-16 10:59:43",,"Benum","L.O.","m",,,,
3008,"2019-08-16 11:03:22","2019-08-16 11:03:22",,"Benum","Peter","m",,,,
1892,"2019-08-16 11:01:39","2019-08-16 11:01:39",,"Benzon","Otto","m",,,,
1632,"2019-08-16 11:01:13","2019-08-16 11:01:13",,"Berckenhoff","Mathieu","m",,,,
