lov_id	sprak	created_at	updated_at	tittel	kort_tittel	oversetter	bibsys	url	note	inote	utgave
12	ENG	28-APR-98	16-SEP-14	Act no. 5 of 24 June 1915 relating to control of postal and telegraphic communications and telephone conversations		Ministry of Foreign Affairs		lov-19150624-005-eng.pdf			Translation date: 8th December 1989
13	ENG	23-JUL-14	02-SEP-15	Act relating to the Courts of Justice	Courts of Justice act	Norwegian Courts Administration		https://www.domstol.no/globalassets/upload/da/internett/domstol.no/domstoladministrasjonen/internasjonalt/courts-of-justice-act-english-translation-uten-paragrafinnledning.pdf			Based on the Norwegian official version as of 1st Oct. 2013
14	ENG	28-APR-98	29-JAN-04	Act regarding mercantile agencies, commercial agencies and commercial travellers		The Federation of Norwegian Commercial Agents		lov-19160630-001-eng.pdf			With amendments of 1st June 1973 no. 30
15	ENG	28-APR-98	29-JAN-04	Act relating to registration and marking of fishing-vessels				lov-19171205-001-eng.pdf			
16	ENG	28-APR-98	09-NOV-06	Act relating to acquisition of waterfalls, mines and other real estate	Industrial Licensing Act	Royal Ministry of Petroleum and Energy		lov-19171214-016-eng.pdf			Most recently amended by Act-2004-06-25-57
17	ENG	28-APR-98	09-NOV-06	Act relating to regulations of watercourses		Ministry of Petroleum and Energy		lov-19171214-017-eng.pdf			Most recently amended by Act-2004-06-25-57
18	ENG	14-FEB-04	06-NOV-15	Act relating to conclusions of agreements, the right to deposit an item of debt, limitation of claims				http://urn.nb.no/URN:NBN:no-nb_digibok_2014060308062			
19	FRE	28-APR-98	24-JUN-04	Traité relatif au Spitzberg du 9 février 1920				lov-19200209-000-fra.pdf			
19	ENG	28-APR-98	09-SEP-20	Treaty of 9 February 1920 relating to Spitzbergen				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 329	
20	ENG	18-MAY-12	18-MAY-12	Act concerning the King's age of majority		Dag T. Hoelseth		http://www.hoelseth.com/acts/act19210513-002.html			
21	FRE	28-APR-98	16-SEP-14	Loi du 17 juillet 1925, relative au Spitzberg	Loi du Svalbard	Ministère Royal de la Justice et de la Police		lov-19250717-011-fre.pdf			Publiée: 1990
21	ENG	28-APR-98	18-SEP-14	Act of 17 July 1925 relating to Svalbard		Royal Ministry of Justice		lov-19250717-011-eng.pdf			Translation date: 1988
22	ENG	28-APR-98	09-SEP-20	The mining code (the mining regulations) for Spitzbergen, laid down by royal decree of 7 August 1925				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 34-41	
23	ENG	28-APR-98	22-SEP-14	Act of 22 April 1927 relating to guardianship for persons who are legally incapable	The Guardianship Act			lov-19270422-003-eng.pdf	Section 90 only		
24	ENG	28-APR-98	02-FEB-04	Act of 5th May 1927 no 1 relating to labour disputes				lov-19270505-001-eng.pdf			Amended, most recently by Act of June 5th 1981
25	ENG	28-APR-98	09-SEP-20	Act of 20 May 1927 relating to property relationship between spouses				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060	Annulled by Act 1991-07-04-47	Norwegian laws s. 776-782	
26	ENG	18-MAY-12	18-MAY-12	Act concerning the entailed estate of Rosendal and changes in the inheritance rules for the entailed estate of Wedel Jarlsberg		Dag T. Hoelseth		http://www.hoelseth.com/acts/act19270704-011.html			
27	ENG	05-AUG-98	15-MAY-12	Act relating to the National Grain Supply				lov-19280622-027-eng.pdf	Annulled by Act 1994-12-23-78		Amended by Act 1985-06-08-69
28	ENG	03-NOV-03	29-JAN-04	Law of 24 May, 1929 regarding the supervision of electrical installations				lov-19290524-004-eng.pdf			With supplementary laws of 1954
29	ENG	28-APR-98	09-SEP-20	Act of 21 February 1930 relating to settlement of estates	The probate act			https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 837-840	
30	ENG	28-APR-98	09-SEP-20	Act of 27 February 1930 relating to Jan Mayen				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 41-42	
31	ENG	28-APR-98	09-SEP-20	Act of 27 February 1930 relating to the Bouvet Island, Peter I's Island and Queen Maud Land				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 42	
32	ENG	28-APR-98	29-JAN-04	Act no 1 of 5 February 1932 relating to punishment for offences indicted before the Court of Impeachement				lov-19320205-001-eng.pdf	Extracts: Chapter 2		
33	ENG	03-NOV-03	02-FEB-04	Act of 26th February, 1932, respecting the temperance committees and measures to prevent the abuse of alcohol and other intoxicating or tranquilizing substances		The Norwegian Joint Committee on International Social Policy		lov-19320226-001-eng.pdf	Annulled by Act-1991-12-13-81		As subsequently amended by Act of 5th June , 1964
34	ENG	28-APR-98	18-SEP-14	Law of the 27th May 1932 on bills of exchange and promissory notes				lov-19320527-002-eng.pdf			Translation prior to October 1969
35	ENG	28-APR-98	18-SEP-14	Law on cheques				lov-19320527-003-eng.pdf			Translation prior to October 1969
36	ENG	28-APR-98	09-SEP-20	Act of 17 June 1932 relating to the legal status of foreign consuls				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 145	
37	ENG	28-APR-98	18-SEP-14	Act relating to the supervision and control of food and similar products of 19 May 1933		Royal Ministry of Social Affairs, Public Health Services		lov-19330519-003-eng.pdf	Annulled by act-2005-12-21-126		Translation prior to December 1969
38	ENG	28-JUN-00	23-MAY-12	Act concerning sales tax		Directorate of Customs and Excise		lov-19330519-011-eng.pdf			Last amended by Act no 73 of 26 June 1993
39	ENG	28-APR-98	09-SEP-20	Act of 22 June 1934 relating to the provisional ban on imports etc.				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 553	
40	ENG	07-FEB-14	08-JUL-15	Act on land registration	Land Registration Act	Minstry of Justice and Public Security		https://www.regjeringen.no/en/dokumenter/act-land-registration/id455461/			Translation date unknown
41	ENG	28-APR-98	18-SEP-14	Law of 19th June 1936 concerning the rights of persons who are not Norwegian psysicians or dentists to undertake treatment of patients					The document has been printed on coloured paper. Scanning or copying impossible		Translation prior to December 1969
42	ENG	28-APR-98	02-FEB-04	Act of 16th July, 1936, respecting obligatory abstinence from indulgence in alcoholic liquors or other intoxicating or tranquilizing substances for persons in certain positions				lov-19360716-002-eng.pdf	Extract only		
43	ENG	28-APR-98	09-SEP-20	Act of 16 April 1937 relating to prohibition against use of Norwegian ships for the conveyance of persons going to a foreign country to participate in war, and for transportation of arms, ammunition, aircraft or parts thereof to a foreign country				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 895	
44	ENG	28-APR-98	13-MAY-04	Act no. 1 of 18th June 1938 concerning the use of x-rays and radium					Annulled by Act 2000-05-12-36		
45	ENG	28-APR-98	09-SEP-20	Act of 17 February 1939 relating to the right to deposit an item of debt				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 941-942	
46	ENG	28-APR-98	09-SEP-20	Act of 17 March 1939 relating to foreign state-owned ships etc.				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 410	
47	ENG	28-APR-98	09-SEP-20	Act of 16 June 1939 relating to whaling				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 902-904	
48	ENG	28-APR-98	16-SEP-14	Act no. 3 of 1 March 1946 relating to the Norwegian State Housing Bank				lov-19460301-003-eng.pdf			With amendments last of 29th June 1990. Translation date: June 1992
49	ENG	28-APR-98	09-SEP-20	Act of 5 July 1946 relating to acquisition and chartering of ships etc.				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 214-216	
50	ENG	24-JUN-04	07-JAN-16	Family allowance act				http://bibsys-almaprimo.hosted.exlibrisgroup.com/UBO:default_scope:BIBSYS_ILS71506910810002201	Annulled by act 2002-03-08-4		
51	FRE	23-NOV-04	23-NOV-04	Loi sur les poids et mesures				lov-19461031-002-fre.pdf			
51	ENG	28-APR-98	09-SEP-20	Act of 31 October 1946 relating to units for weights and measures				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 933-935	
52	ENG	28-APR-98	09-SEP-20	Provisional act of 13 December 1946 relating to the ban on imports				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 553-554	
53	ENG	28-APR-98	09-SEP-20	Provisional act of 13 December 1946 relating to the ban on exports				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 554-555	
54	ENG	28-APR-98	09-SEP-20	Act of 19 June 1947 relating to the immunity and privileges of international organizations				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 151	
55	ENG	28-APR-98	18-SEP-14	Act of 27 June 1947 respecting measures to promote employment	The Employment Act			lov-19470627-009-eng.pdf			Translation prior to 1971
56	ENG	28-APR-98	09-SEP-20	Act of 28 July 1949 relating to the power of the King to enter into agreements with foreign states for the avoidance of double taxation etc.				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 581-582	
57	FRE	28-APR-98	16-SEP-14	Loi sur la nationalité norvégienne				lov-19501208-003-fre.pdf			Translation avant Mars 1989
57	ENG	28-APR-98	10-NOV-15	Act relating to Norwegian nationality	The Norwegian Nationality Act			http://urn.nb.no/URN:NBN:no-nb_digibok_2013032006094			
58	ENG	28-APR-98	03-FEB-04	Act no. 7 of 15 December 1950 relating to special measures in time of war, threat of war and similar circumstances				lov-19501215-007-eng.pdf			
59	ENG	28-APR-98	03-FEB-04	Act no. 19 of 29 June 1951 relating to military requisitions				lov-19510629-019-eng.pdf			
60	ENG	28-APR-98	03-FEB-04	Act of 6th July 1951 no. 4 relating to the Norwegian Council for War Damages				lov-19510706-004-eng.pdf			
61	ENG	28-APR-98	03-FEB-04	Act respecting pensions insurance for forestry workers of 3rd December 1951				lov-19511203-002-eng.pdf			
62	LAP	14-AUG-08	14-AUG-08	Láhkanjuoskaguliid gávppaseami				http://www.regjeringen.no/se/dok/lagat-ja-njuolggadusat-/Lover/lahka-njuoskaguliid-gavppaeami-birra.html?id=516850&epslanguage=NO-SE			
62	ENG	28-APR-98	16-SEP-14	Act of 14th December 1951, relating to marketing of raw fish				lov-19511214-003-eng.pdf			Translated January 1996
63	ENG	28-APR-98	09-SEP-20	Act of 19 December 1952 relating to measure to prevent spreading of infectious diseases etc. from abroad	The quarantine act			https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 609-610	
64	ENG	28-APR-98	09-SEP-20	Act of 19 December 1952 relating to requisitioning of ships in time of war or in an emergency				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 216-217	
65	ENG	28-APR-98	18-SEP-14	Act of 19th December, 1952, respecting wage committees in labour disputes				lov-19521219-007-eng.pdf			Translation prior to November 1969
66	ENG	28-APR-98	18-SEP-14	Act of 16th June, 1953, relating to inventions which have significance for the defence of the Kingdom				lov-19530626-008-eng.pdf			Translation prior to January 1964
67	GER	23-NOV-04	23-NOV-04	Das norwegische Zivilschutzgesetz				lov-19530717-009-ger.pdf			Mit Änderungen vom 12. Juni 1956
67	ENG	28-APR-98	14-FEB-04	The Norwegian civil defence act				lov-19530717-009-eng.pdf			With amendments of June 19, 1969
68	VIE	28-APR-98	20-OCT-03	Luat ngay 17 tháng 7 nam 1953 báo-vê nhi-dông				lov-19530717-014-vie.pdf			
68	ENG	28-APR-98	14-FEB-04	Act no. 14 of 17 July 1953 relating to child welfare				lov-19530717-014-eng.pdf	Annulled by Act-1992-07-17-100		With amendments last of 1 April 1981
69	ENG	28-APR-98	19-SEP-14	Act relating to the home guard	The Home Guard Act			lov-19530717-028-eng.pdf			
70	ENG	28-APR-98	09-SEP-20	Act of 17 July 1953 relating to compulsory military service	Compulsory military service act			https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 80-87	
71	ENG	28-APR-98	14-FEB-04	Act concerning local government in the urban district and the rural district municipalities				lov-19541112-001-eng.pdf	Annulled by Act-1992-09-24-107		With amendments of June 30th, 1967
72	ENG	28-APR-98	09-SEP-20	Act of 26 November 1954 relating to vaccination				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 613-614	
73	ENG	28-APR-98	09-SEP-20	Act of 30 June 1955 relating to the authority of Norwegian public officials to solemnize marriage abroad, and of foreign public officials to solemnize marriage in Norway				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 784	
74	ENG	28-APR-98	14-FEB-04	Act of 9 December 1955 respecting recovery of maintenance allowance				lov-19551209-005-eng.pdf			With amendments last of 19 June 1969
75	ENG	28-APR-98	22-FEB-18	Act on the Supervision of Financial Institutions etc.	Financial Supervision Act			https://www.finanstilsynet.no/globalassets/laws-and-regulations/laws/financial-supervision-act.pdf			Translation update January 2013
76	ENG	28-APR-98	18-SEP-14	Act no. 4 of 14 December 1956 relating to a levy on the public presentation of recordings of performers' performances, etc.				lov-19561214-004-eng.pdf			Translation date: 14th February 1992
77	ENG	28-APR-98	03-FEB-04	Act of 14 December 1956 relating to supply and civil defence measures				lov-19561214-007-eng.pdf			With amendments of 17th March 1967
78	ENG	20-OCT-03	14-FEB-04	Act of 24 April, 1957 respecting advance payment of maintenance contributions				lov-19570426-004-eng.pdf	Annulled by Act-1989-02-17-2		With amendments las by Act of 16 June, 1971
79	ENG	28-APR-98	08-JUL-15	Act Relating to Outdoor Recreation	Outdoor Recreation Act	Ministry of Climate and Environment		https://www.regjeringen.no/en/dokumenter/outdoor-recreation-act/id172932/	This transaltion is based on the norwegian text with latest amendments of 21 june 1996.		
80	SPA	28-APR-98	14-FEB-04	Ley des servicio exterior				lov-19580718-001-spa.pdf	Anulación: 2002-05-03		
80	GER	28-APR-98	14-FEB-04	Gesetz über den Auswärtigen Dienst				lov-19580718-001-ger.pdf	Aufhebung: 2002-05-03		
80	FRE	28-APR-98	14-FEB-04	Loi rélative au service des affaires étrangeres				lov-19580718-001-fre.pdf	Annulation: 2002-05-03		
80	ENG	28-APR-98	16-SEP-14	The foreign service act				lov-19580718-001-eng.pdf	Annulled by Act-2002-05-03-13		
81	ENG	28-APR-98	29-MAY-12	Act relating to public service disputes				lov-19580718-002-eng.pdf			
82	ENG	28-APR-98	18-SEP-14	The Norwegian prison act	The Prison Act	Central Prison Administration		lov-19581212-007-eng.pdf	Annulled by Act 2002-05-18-21		Translation date: October 1983
83	ENG	28-APR-98	18-SEP-14	Act of 12 December 1958 respecting occupational injuries insurance		The Norwegian Joint Committee on International Social Policy		lov-19581212-010-eng.pdf			Translation prior to September 1971
84	ENG	28-APR-98	18-SEP-14	Act of 28th May, 1959, relating to quality inspection of fish and fish-products, etc.				lov-19590528-012-eng.pdf			Translation prior to 1970
85	ENG	28-APR-98	18-SEP-14	Act no. 1 of 17 June 1960 relating to rights in photographic pictures		Ministry of Foreign Affairs		lov-19600617-001-eng.pdf	Annulled by Act-1995-06-23-37		Translation date: 14th February 1992
86	ENG	28-APR-98	09-SEP-20	Act of 16 December 1960 relating to aviation				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 492-499	
87	ENG	23-NOV-04	27-JAN-15	Act relating to compensation for injury caused by a motor vehicle	Automobile Liability Act			lov-19610203-000-eng.pdf			Revised version from 1968
88	ENG	28-APR-98	09-SEP-20	Act of 3 March 1961 relating to extradition of offenders to Denmark, Finland, Iceland and Sweden				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s.725-727	
89	FRE	28-APR-98	03-FEB-04	Loi concernant les marques collectives				lov-19610303-004-fre.pdf			
90	GER	03-FEB-04	03-FEB-04	Verbandszeichengesetz				lov-19610303-005-ger.pdf			
91	ENG	28-APR-98	09-SEP-20	Act of 23 March 1961 relating to persons who have disappreared				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 851-855	
92	ENG	28-APR-98	03-FEB-04	Mental health act				lov-19610428-002-eng.pdf	Annulled by Act 1999-07-02-62		
93	FRE	28-APR-98	16-SEP-14	Loi relative au droit de propriété sur les oeuvres littéraires, scientifiques ou artistiques				lov-19610512-002-fre.pdf			Traduction: Septembre 1993
94	ENG	28-APR-98	17-JUN-15	Act on savings banks	Savings Banks Act			http://www.finanstilsynet.no/Global/English/Laws_and_regulations/Banking_finance/Savings_Banks_Act.pdf			Translation updated August 2004
95	ENG	28-APR-98	15-SEP-09	Act on commercial banks in Norway	Commercial Banks Act			http://www.kredittilsynet.no/Global/English/Laws_and_regulations/Banking_finance/Commercial_Banks_Act.pdf			With amendments as per 1 July 2004
96	ENG	28-APR-98	16-SEP-14	Act relating to firearms, ammunition etc.				lov-19610609-001-eng.html			With amendments of 1990
97	ENG	28-APR-98	04-FEB-04	Act concerning county municipalities				lov-19610616-001-eng.pdf	Annulled by Act 1992-09-25-107		
98	ENG	28-APR-98	18-SEP-14	Act no. 15 of 16 June 1961 relating to the legal relationship between neighbouring properties	The Neighbouring Properties Act	Ministry of Environment		lov-19610616-015-eng.pdf			Translation: December 1974
99	ENG	28-APR-98	09-SEP-20	Act relating to measures to combat livestock diseases				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 619-620	
100	FRE	28-APR-98	16-SEP-14	Loi sur le Médiateur parlementaire pour l'administration				lov-19620622-008-fre.pdf			Modifiée par les lois du 22 mars 1968 et du 8 février 1980. Avec des instructions du Médiateur parlementaire pour l'administration établies par le Storting le 19 février 1980
100	ENG	28-APR-98	15-FEB-18	Act relating to the Parliamentary Ombudsman for Public Administration	The Parliamentary Ombudsman Act			https://lovdata.no/dokument/NLE/lov/1962-06-22-8			
101	FRE	28-APR-98	16-SEP-14	Loi sur les conditions de travail des gens de maison		Bureau international du Travail		lov-19630531-003-fre.pdf	Annulation: 1995-01-06		Translation avant Decembre 1969
101	ENG	28-APR-98	04-FEB-04	Act respecting the conditions of employment of domestic servants		International Labour Office		lov-19630531-003-eng.pdf	Annulled by Act-1995-01-06-2		
102	ENG	28-APR-98	19-SEP-14	Act relating to scientific research and exploration for and exploitation of subsea natural resources other than petroleum resources				http://www.npd.no/en/Regulations/Acts/Scientific-research-act/			Last amended by Act of 29 November 1996 no 72. The last amendment dated 1 July 2006 is currently being translated
103	ENG	28-APR-98	19-SEP-14	Act concerning the operation of pharmacies, etc.		Ministry of Foreign Affairs		lov-19630621-017-eng.pdf	Annulled by act 1998-07-17-56		
104	ENG	28-APR-98	09-SEP-20	Act relating to enforcement of penal sentences passed in the Nordic states				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 728-730	
105	ENG	28-APR-98	09-SEP-20	Act on measures to prevent plant diseases and pests	The Plant Diseases Act	Ministry of Agriculture		https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 620-622	
106	ENG	28-APR-98	19-SEP-14	The audit and auditors act				lov-19640314-002-eng.pdf	Annulled by act 1998-07-17-56		
107	ENG	28-APR-98	15-SEP-14	Act concerning international private law rules for sales of goods		Jørgen W. Sandberg		lov-19640403-001-eng.pdf			
108	ENG	28-APR-98	19-SEP-14	Act relating to personal names				lov-19640529-001-eng.pdf	Annulled by Act-2002-06-07-19		With amendments as of 8 June 1979
109	ENG	28-APR-98	09-SEP-20	Act relating to inheritance dury and duty on certain gifts				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 814-826	
110	ENG	28-APR-98	09-SEP-20	Act relating to tonnage measurement of ships				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 220-221	
111	ENG	04-FEB-04	24-JUN-04	Act relating to medicines etc.				lov-19640620-005-eng.pdf	Annulled by Act 1992-12-04-132		
112	ENG	28-APR-98	09-SEP-20	Act relating to exemption from military service for reasons of personal conviction				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 87-91 (utdrag)	
113	ENG	28-APR-98	04-FEB-04	Act relating to road traffic	The Road Traffic Act			lov-19650618-004-eng.pdf			With amendments as of June 1988
114	ENG	28-APR-98	04-FEB-04	Act respecting the Regional Development Fund		Ministry of Local Government and Labour		lov-19650618-011-eng.pdf	Annulled by Act-1992-07-03-97		With amendments of 11 June 1976
115	GER	28-APR-98	19-SEP-14	Gesetz zur Regelung der Währungs- und Kreditbedingungen				lov-19650625-002-ger.pdf	Aufhebung: 2003-06-20		Mit letzer Änderung vom 18. Juni 1971
115	ENG	28-APR-98	19-SEP-14	Act authorizing the regulation of monetary and credit conditions		The Monetary Policy Department of Norges Bank		lov-19650625-002-eng.pdf	Annulled by Act-2003-06-20-44		With amendments as of 16 June 1978
116	ENG	28-APR-98	24-JUN-04	Act relating to hovercraft						Excerpts from the Norwegian ship control legislation s. 76 - 77	
117	ENG	24-JUN-04	07-JAN-16	National insurance act				http://bibsys-primo.hosted.exlibrisgroup.com/UBO:default_scope:BIBSYS_ILS71506910810002201	Annulled by act 1997-02-28-19		
118	ENG	28-APR-98	21-OCT-03	Act relating to Norway's fishery limit and prohibition against fishing etc. by foreign nationals inside the fishery limit		Ministry of Foreign Affairs		lov-19660617-019-eng.pdf			With amendments of 1st October 1994
119	ENG	28-APR-98	07-JAN-16	Act on appeal to the insurance court of appeal		Ministry of Health and Social Affairs		http://bibsys-primo.hosted.exlibrisgroup.com/UBO:default_scope:BIBSYS_ILS71506910810002201			With amendments, last of 5 June 1987
120	LAP	22-APR-04	16-SEP-14	Láhka guovvamánu 10. b. 1967 hálddaanáiid meannudanvuogi birra	Hálddaanláhka			http://odin.dep.no/krd/samisk/njuolggaduscallosat/lagat/016091-990097/index-dok000-b-n-a.html			Endret ved lover nr 40/1977, nr 4/1995
120	ENG	28-APR-98	06-DEC-17	Act relating to procedure in cases concerning the public administration	Public Administration Act			https://lovdata.no/dokument/NLE/lov/1967-02-10			
121	ENG	28-APR-98	18-SEP-14	Act of June 8, 1967 relating to the implementation of the Convention of March 18, 1965 on the settlement of investment disputes between states and nationals of other states				lov-19670608-003-eng.pdf			Translation prior to November 1969
122	ENG	23-NOV-04	23-NOV-04	Act authorizing the King-in-Council to prohibit shipowners to transmit information etc. to authorities of foreign countries				lov-19670616-003-eng.pdf			
123	GER	28-APR-98	16-SEP-14	Gesetz über Patente				lov-19671215-009-ger.pdf			Übersetzung von 1968-1969
123	FRE	28-APR-98	16-SEP-14	Loi sur les brevets				lov-19671215-009-fre.pdf			Traduction: 1968
123	ENG	28-APR-98	28-NOV-16	Act No. 9 of December 15, 1967 on patents	The Norwegian Patents Act			https://www.patentstyret.no/en/norwegian-patents-act			Entry into force of last amending Act: January 1, 2015
124	ENG	28-APR-98	04-FEB-04	Act relating to the implementation of mandatory decision of the Security Council of the United Nations		Ministry of Foreign Affairs		lov-19680607-004-eng.pdf			Translation: 1989
125	ENG	20-OCT-03	04-FEB-04	Act no 24 of 13 June 1969 concerning primary and lower secondary education	Primary and Lower Secondary Education Act			lov-19690613-024-eng.pdf	Annulled by Act 1998-07-17-60		With amendments of 18th December 1987
126	ENG	17-MAR-00	29-MAY-12	Act relating to religious communities, etc.				lov-19690613-025-eng.pdf			With amendments of 1998
127	ENG	28-APR-98	09-SEP-20	Act relating to compensation in certain circumstances				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060	Chapter I-IV only	Norwegian laws s. 763-766	
128	ENG	28-APR-98	13-FEB-04	The Hospitals Act				lov-19690619-057-eng.pdf	Annulled by Act 1999-07-02-61		
129	ENG	24-JUN-04	24-JUN-04	The special supplement act of 19 June 1969 no 61				lov-19690619-061-eng.pdf	Annulled by act 1997-02028-19		With amendments, last of 23 December 1988
130	ENG	28-APR-98	04-FEB-04	Law regarding construction and operation of electrical installations				lov-19690619-065-eng.pdf			
131	FRE	20-OCT-03	16-SEP-14	Loi norvégienne du 19 juin  1969 sur la taxe frappant les investissements et autre				lov-19690619-067-fre.pdf			Traduction: Novembre 1969
131	ENG	28-APR-98	13-NOV-00	Act relating to tax on investments etc.				lov-19690619-067-eng.pdf			With amendments up to 16 June 1989
132	ENG	28-APR-98	19-SEP-14	Act respecting the right to employees' inventions				lov-19700417-021-eng.pdf			Translated Sep/Oct 1971
133	GER	28-APR-98	14-FEB-04	Gesetz über Muster	Mustergesetz			lov-19700529-033-ger.pdf	Aufhebung: 2003-03-14		
133	FRE	28-APR-98	14-FEB-04	Loi sur des modèles				lov-19700529-033-fre.pdf	Annulation: 2003-03-14		
133	ENG	13-FEB-04	13-FEB-04	Designs act				lov-19700529-033-eng.pdf	Annulled by Act-2003-03-14-15		As amended by Act no 2 of February 8, 1980
134	LAP	22-APR-04	14-AUG-08	Láhka geassemánu 19. b. 1970 almmolavuoða birra hálddaeamis	Almmolavuoðaláhka			http://www.regjeringen.no/se/dok/lagat-ja-njuolggadusat-/Lover/almmolavuoalahka.html?id=446951&epslanguage=NO-SE			
134	ENG	28-APR-98	22-SEP-10	Act relating to public access to documents in the public administration	Freedom of Information Act	Ministry of Foreign Affairs		lov-19700619-069-eng.pdf	Annulled by Act-2006-05-19-16		Amended, most recently by Act of 20 June 2003 no. 45
135	ENG	28-APR-98	05-FEB-04	Act on seeds etc.				lov-19701204-082-eng.pdf	Annulled by Act-2003-12-19-124		Translated March 1971
136	ENG	28-APR-98	13-FEB-04	Act concerning trade in fertilizers and soil-improvements etc.				lov-19701204-083-eng.pdf	Annulled by Act-2003-12-19-124		
137	ENG	28-APR-98	15-DEC-03	Act relating to criminal registration				lov-19710611-052-eng.pdf			
