"id","created_at","updated_at","deleted_at","created_by","updated_by","inv_no","section_or_side","material","connections","negative","acquisition","title_or_type","size","provenance","language","lines","palaeographic_description","author","content","people","places","origin","state_of_preservation","items","publ_side","genre","fullsizefront_r1","fullsizeback_r1","translation","bibliography","negative_in_copenhagen","date_cataloged","extent_genre","language_code","date1","date2","date","title_statement","material_long","subjects","public","p_oslo_vol","p_oslo_nr","internal_comments","conservation_notes","acquisition_year","trismegistos_url","papyri_dclp_url"
11,,"2021-02-09 23:53:25",,,,"1460","Recto; Verso address","Pap",,"No","Purchased in 1934 from Maurice Nahman, Cairo","Private letter","10 x 12.6 cm.","Unknown place, province of Egypt","Greek","Recto - 13; Verso - 2","Written by a skilled, probably professional hand. The writing is fluent, beautiful, impersonal.","Heraklous","Letter from Heraklous to Pompeius, begging him to come immediately to sort out(?) a quarrel which has arisen at the death of Apeis, possibly in connection with an inheritance.","[""Heraklous"", ""Pompeius"", ""Apeis"", ""Serapous"", ""Argyrios""]","[]","Unknown place, province of Egypt","The lower half of the papyrus is lost.",1,"Recto; address on the Verso","Documentary","1460r.jpg",,"Heraklous to Pompeius greeting and all good wishes for his health. As soon as the letter reaches you, come immediately. Since Apeis died, Serapous never stops pestering me at home. Since she demands: 'Produce the memoranda', she stands there saying: 'Two memoranda'. I do not give them. Argyrios has utterly confirmed us, saying: 'You have not paid the sales tax'. If the letter reaches you, come immediately. If not, I shall leave the house. If you don't come, I shall arrange about the house (?) and come to you in order that... (The papyrus breaks off)Verso:(Traces of the address)","White, John L., Light from ancient letters, Philadelphia c1986 (no. 92, p. 143-144)Bagnall & Cribiore, Women's letters from ancient Egypt 300 BC-AD 800, 2006, p.130-131",TRUE,,"1 papyrus ; 10 x 12.6 cm.","grc","1","99","Ist century A.D.","Private letter","Papyrus","[""Letter"", ""Death"", ""Inheritance""]",TRUE,,,,,,,"https://papyri.info/ddbdp/sb;6;9121"
12,,"2021-02-09 23:53:25",,,,"1444","Recto","Pap",,"No","Purchased in 1934 from Maurice Nahman, Cairo","Private letter","14.6 x 15.4 cm.","Unknown place, province of Egypt","Greek","14","Written by a scribe who writes in a rather uneven, angular style, which gives the impression of a 'private' hand. The author, Herennia, has only been able to add the valediction at the bottom of her message","Herennia","Letter from Herennia to Pompeius, about some purchases she wishes him to carry out for her.","[""Herennia"", ""Pompeius"", ""Pration"", ""Thaisous"", ""Antiphanes"", ""Pompeis""]","[""Arsinoiton polis""]","Unknown place, province of Egypt",,1,"Recto, the Verso is blank","Documentary","1444r.jpg",,"Herennia to Pompeius ... very many greetings and all good wishes for his health, and I salute my mother. I beg you to remind my father to buy a coloured, decent outer garment. Let yourself be satisfied (paid) ... the house ... with the price of the garment ... the Arsinoite. Don't forget to buy (another, similar to?) the coloured one for Pration. Receive two measures of lentils from Thaisous. And Antiphanes wrote me in order that there may be sale there ... I ask you to send me three staters of parrot-cloth for headbands. Pompeis junior sends his regards to you, his father and mother. We send our regards to your children and those at home.      April 1st(With her own hand:) Be of good health.","Mentioned in White, John L., Light from ancient letters, Philadelphia c1986, in connection with two other letters (inv. 1475 and 1460), involving the same family members (or some of them).Bagnall & Cribiore, Women's letters from ancient Egypt 300 BC-AD 800, 2006, p. 132",TRUE,,"1 papyrus ; 14.6 x 15.4 cm.","grc","1","99","Ist century A.D.","Private letter","Papyrus","[""Letter"", ""Clothing""]",TRUE,,,,,,,"https://papyri.info/ddbdp/sb;6;9122"
13,,"2021-02-09 23:53:25",,,,"469","Recto; address on the Verso","Pap",,"Yes","Purchased 1923 through British Museum, with M. Nahman as the dealer. Cf. the reports and the inventory list by H. I. Bell","Private letter","13.5 x 7.7 cm.","Unknown place, province of Egypt","Greek","Recto - 9; Verso -1",,"Iustus","Private letter from Iustus to Ploution, asking him to make various purchases.Verso address.","[""Iustus"", ""Ploution""]","[""Bousiris"", ""Diospolis"", ""Saïs""]","Unknown place, province of Egypt",,1,"Recto; address on the Verso","Documentary","469r.jpg","469v.jpg","Justus to the dearest Ploution, many greetings. It would be nice if you in Bousiris could buy two linen tunics, coarse, clean (Schmidt: thick) and good, for the amount of up to 40 drachmae, a nice pair of cross-woven cloths from Diospolis, a single bathing towel, a good half-cushon, if you find a bigger one - see to it that you do not forget anything - another cheaper one from Saïs ...Verso:Give to Ploution.",,TRUE,,"1 papyrus ; 13.5 x 7.7 cm.","grc","100","199","IInd century A.D.","Private letter","Papyrus","[""Letter"", ""Cloth"", ""Clothing""]",TRUE,"II","56",,,,,"https://papyri.info/ddbdp/p.oslo;2;56"
14,,"2021-02-09 23:53:25",,,,"325","Recto","Pap",,"Yes","Purchased by Eitrem in Egypt 1920","Recommendation letter","12.7 x 12 cm.","Unknown place, province of Egypt","Greek","12",,"Ammonios","Private letter from Ammonion to Dioskoros, containing a recommendation.","[""Ammonios"", ""Dioskoros"", ""Heras, grammateus georgon"", ""Marcus""]","[""Skandips""]","Skandips, province of Egypt","The letter bears marks of having been folded in an extraordinary manner (two vertical folds, with a small interval between), bur the size of the missing part of the right side may approximately be calculated,  line 3 being complete",1,"Recto, the Verso is blank","Documentary","325r.jpg",,"Ammonios to the most honourable Dioskoros greeting. Heras, the one who brings you the letter, is a farmers' scribe in Ska[ndips] and he has an apology to give for the delivered report. I ask [you to accompany] him to Markos so that [he can take care of] him until I come, since I [care] about him. Think of the goodwill [I shall have] towards you because of [your disposition. [I hope you are well.]",,TRUE,,"1 papyrus ; 12.7 x 12 cm.","grc","100","199","IInd century A.D.","Recommendation letter","Papyrus","[""Letter"", ""Recommendation""]",TRUE,"II","51",,,,,"https://papyri.info/ddbdp/p.oslo;2;51"
15,,"2021-02-09 23:53:25",,,,"330","Recto; address on the Verso","Pap",,"Yes","Purchased by S. Eitrem in Egypt, 1920","Private letter","9.1 x 15.5 cm.","Unknown place, province of Egypt","Greek","Recto - 12; Verso - 3","The 3. line of the address on the Verso is written in a second hand, across the fibres (with red ink)","Ambrosios","Private letter from Ambrosios presbyter to his son.","[""Ambrosios, prophetes"", ""Hermeias, hiereus"", ""Helladios"", ""Hesychios, speculator""]","[""Pentaso""]","Pentaso, Memphite nome, province of Egypt",,1,"Recto; address on the Verso","Documentary","330r.jpg","330v.jpg","... (from?) Ambrosios. Then if you have the opportunity, put off everything, and come with your wife. We need you especially from now on, since we are in difficulties. And in any case it was ..... from my letters, that a stranger ......For our priest Hermeias is dead. And I recommended you to my lord Helladios, but also my master Hesychios, the overseer, was told, likewise in the village, by a friend, about ...Be well, together with our son and our mother.Verso:From Ambrosios, prophetes ... in PentasoWritten across the fibres in red ink:(Second hand) From my father......","Choat-M, Belief and cult in fourth-century papyri. 2006, p. 140, 166",TRUE,,"1 papyrus ; 9.1 x 15.5 cm.","grc","300","399","IVth century A.D.","Private letter","Papyrus","[""Letter"", ""Priests"", """"]",TRUE,"II","59",,,,,"https://papyri.info/ddbdp/p.oslo;2;59"
16,,"2021-02-09 23:53:25",,,,"331","Recto; address on the Verso","Pap",,"Yes","Purchased by Eitrem in Egypt, 1920","Private letter","15.7 x 19 cm.","Unknown place, province of Egypt","Greek","Recto: 11;Verso: 1",,"Heron","Private letter from Heron to Didymos, asking him to go to Dionysias to buy covers for the tripods in some triclinium.","[""Heron"", ""Didymos"", ""Ptolemaios, archigrammateus""]","[""Dionysias""]","Unknown place, province of Egypt",,1,"Recto; address on the Verso","Documentary","331r.jpg","331v.jpg","Heron to his most honoured Didymos greeting. The chief secretary Ptolemaios wrote to me that I ask you to go to Dionysias and buy covers for the tripods in the triclinium and, since it is a particular friend (of his) who has ordered this, to send them to him. I wrote to you knowing that you would do it. ..... Do it faster please, as your friend troubles us with his perpetual requests. I suppose his request will not be a burden to you since he is your friend. I also send you the letter from him. I pray that you are well, my lord.Verso: To Didymos from Heron.",,TRUE,,"1 papyrus ; 15.7 x 19 cm.","grc","100","199","IInd century A.D.","Private letter","Papyrus","[""Letter"", ""Administration"", ""Furniture"", ""Cloth""]",TRUE,"II","60",,,,,"https://papyri.info/ddbdp/p.oslo;2;60"
17,,"2021-02-09 23:53:25",,,,"580","Recto; address on Verso","Pap",,"Yes","Purchased  April 5 1928 by Leiv Amundsen from Ali Mahmud, Behnasa","Recommendation letter","9 x 10.5 cm.","Probably Oxyrhynchos, Oxyrhynchite nome, province of Egypt","Greek","Recto: 14;Verso: 1",,"Diogenes","Letter from Diogenes to his brother Pythagoras, recommending Theon, a close friend.","[""Diogenes"", ""Pythagoras, bouleutes"", ""Theon""]","[]","Unknown place, province of Egypt","The papyrus was bought with the date beneath the text cut off. L Amundsen's remark: """"Of this letter I saw the lower half, containing the valediction and date (by emperor's year, month, days) on the recto, and prob. end of address on the verso, in the hands of Ali Mahmud; the price he asked for the box of fragments in which this was placed, was too high.",1,"Recto; address on Verso","Documentary","580r.jpg","580v.jpg","Diogenes to his brother Pythagoras greeting. Know that Theon, the extraordinary person who is handing you this letter, is a close friend of mine and has a brotherly relation to me. You would do well, dear brother, to receive him as you would me. Prepare a room as well as you can and let him have it, so that he can bear witness to me about your disposition. Verso:To Pythagoras, councillor.","Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 285 (comments on the meaning of l.10f.)",TRUE,,"1 papyrus ; 9 x 10.5 cm.","grc","100","299","IInd or IIIrd  century A.D.","Recommendation letter","Papyrus","[""Letter"", ""Recommendation""]",TRUE,"II","55",,,,,"https://papyri.info/ddbdp/p.oslo;2;55"
18,,"2021-02-09 23:53:25",,,,"541","Recto","Pap",,"Yes","Purchased 1928 through British Museum.No I(5) of the inventory list written by H.I.Bell","Letter","7 x 9.8 cm.","Unknown place, province of Egypt","Greek","10",,"Horeion","Letter from Horeion to Apollonios, asking him to send a medicine chest with some medicines.","[""Horeion"", ""Apollonios""]","[]","Unknown place, province of Egypt",,1,"Recto, the Verso is blank","Documentary","541r.jpg",,"Horeion to his father Apollonios, greeting. Receive by letter 908 silver drachmae that I sent with a lodger (tenant?).Send me the medicine chest and ask the doctor for the bitter medicine and the other sweeter one.I pray that you are well.",,TRUE,,"1 papyrus ; 7 x 9.8 cm.","grc","100","299","IInd or IIIrd century A.D.","Letter","Papyrus","[""Letter"", ""Medicine""]",TRUE,"II","54",,,,,"https://papyri.info/ddbdp/p.oslo;2;54"
19,,"2021-02-09 23:53:25",,,,"569","Recto; address on the Verso","Pap",,"Yes","Purchased through British Museum 1928. (Inv. 569 bought in Fayum.)","Private letter","11 x 9.5 cm.","Unknown place, province of Egypt","Greek","Recto: 11;Verso: 1",,"Dionysios","Letter from Dionysios to his father, Philonikos.","[""Dionysios, son of Philonikos"", ""Kallinikos"", ""Philonikos, father of Dionysios""]","[]","Unknown place, province of Egypt",,1,"Recto; address on the Verso","Documentary","569r.jpg","569v.jpg","Dionysios to the master, his father, greetings. My health is as before. The night before yesterday I had a fever and would not eat, but this morning, thanks to god, I got well again. When I had got the sixty drachmae, I sent with Kallinikos, as you wrote me, both five pairs of bread and (a pot of) olives and six roasted cheeses and six sausages and ... numbers ... and ...Verso:To Philonikos",,TRUE,,"1 papyrus ; 11 x 9.5 cm.","grc","1","199","Ist/IInd century A.D.","Private letter","Papyrus","[""Health"", ""Letter"", ""Food""]",TRUE,"III","152",,,,,"https://papyri.info/ddbdp/p.oslo;3;152"
20,,"2021-02-09 23:53:25",,,,"656","Recto","Pap",,"Yes","Purchased by L. Amundsen from R.H.Blanchard, Schâri Kâmil, Cairo 5.1. 1928","List","19.9 x 8.8 cm.","Unknown place, province of Egypt","Latin","21","All the text is written by one scribe, but in two different types of script: 1) Roman cursive, the main body of the document, 2) an upright, elaborate style, more resembling a book hand, used only in the heading, l.11. The writing is clear and fairly easy to read",,"Fragmentary list of soldiers, organised in squadrons (turmae).","[""Aureliuis Cronion"", ""Nicolaus, decurio"", ""Appius Claudius Iulianus II, consul of 224 A.D."", ""Aurelius Hermaiscus"", ""Quintianus, decurio"", ""P. Valerius Comazon Eutychianus, consul of 220 A.D."", ""Iulius Horigenes"", ""Titus, decurio"", ""Modestus, consul of 228? A.D."", ""Aurelius H(-)"", ""Flaminius, decurio"", ""L. Virius Agricola, consul of 230 A.D."", ""Aurelius Artemidorus"", ""Aelius Sarapion"", ""Ammonianus Cosanus, decurio"", ""C. Bruttius Praesens, consul of 217 A.D."", ""Aurelius Ammonianus"", ""Iulius Sarapion"", ""Sarapion, decurio"", ""C. Vettius Gratus Sabinianus, consul of 221 A.D."", ""Aurelius Heras"", ""M.Aurelius Severus Alexander Caesar, emperor, consul of 222 A.D."", ""Theon, son of Serenus"", ""Ammonianus, decurio""]","[]","Unknown place, province of Egypt",,1,"Recto, the Verso is blank","Documentary","656r.jpg",,"Aurelius Cronion, Roman citizen, (belonging to the) turma of Nicolaus, (enrolled) in the consulship of Iulianus II; Aurelius Hermaiscus, Roman citizen, (belonging to the) turma of Quintianus, (enrolled) in the consulship of Valerius Comazon; Iulius Horigenes, Roman citizen, (belonging to the) turma of Titus, (enrolled) in the consulship of Modestus; Aurelius H(...), Roman citizen, (belonging to the) turma of Flaminius, (enrolled) in the consulship of Agricola; Aurelius (A)rtem(idorus), Roman citizen, (belonging to the) turma of ..., (enrolled) in the consulship of Agricola.Ten sesquiplicarii:Aelius Sarapion, (belonging to the) turma of Ammonianus Cosanus, (enrolled) in the consulship of Praesens; Aurelius Ammonianus, (belonging to the) turma of Flaminius, (enrolled) in the consulship of Iulianus II; Iulius Sarapion, (belonging to the) turma of Sarapion, (enrolled) in the consulship of Gratus; Aurelius Heras, (belonging to the) turma of Titus, (enrolled) in the consulship of the Divus Alexander; Theon, son of Serenus, (belonging to the) turma of Ammonianus, (enrolled) in the consulship of Praesens ...(the list breaks off)","Wilcken U, Archiv 10 (1932) p. 279R.O.Fink, """"A fragment of a Roman military papyrus at Princeton,"""" TAPA 76 (1945) 276Chartae Latinae Antiquiores 46 no. 1391, p.57, pl. XCorpus Papyrorum Latinorum 139R.O.Fink, Roman military records on papyrus, Cleveland 1971, 146-147 (no. 24)  Daris S, Documenti per la storia dell' esercito Romano in Egitto. Milano 1964. No. 23",TRUE,,"1 papyrus ; 19.9 x 8.8 cm.","lat","238","242","238-242 A.D.","List","Papyrus","[""List"", ""Soldiers"", ""Army"", ""Cavalry""]",TRUE,,,,,,,
