"id","user_id","year","title","bibsys_objektid","report_type","pub_type","series","volume","publisher","publication_place","issn","isbn","journal","booktitle","number","chapter","edition","school","note","abstract","url","doi","crossref","pages","public","keywords","public_note","private_note"
14,13,"2002","Teksthistorie: tekstvitenskapelige bidrag","030055407","","Book","","nr 6","Norsk sakprosa i samarbeid med Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-21-2","","","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","","267 ",1,"[""historie"",""læremidler"",""sjanger"",""teksthistorie"",""tekstnormer"",""tekstvitenskap""]",NULL,NULL
20,13,"2001","Det vitenskapelige studiet av sakprosa. Om tekstvitenskapelige utfordringer og løsninger i norsk og svensk sakprosaforskning","","","Inbook","","","Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-13-1","","Fire blikk på sakprosaen","","","","","Nr. 1 i skriftserien Sakprosa. Undertittel på omslaget: Teori og praktisk analyse","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/1Berge-Breivega-Roksvold-Tonnesson-Fire-blikk-pa-sakprosa.pdf","","011280891","9-71",1,"[""sakprosateori"",""tekstvitenskap"",""Sakprosa""]",NULL,NULL
19,13,"2001","Fire blikk på sakprosaen","011280891","","Book","","","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sak­prosa","Oslo","","82-90954-13-1","","","","","","","Nr. 1 i skriftserien Sakprosa. Undertittel på omslaget: Teori og praktisk analyse","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/1Berge-Breivega-Roksvold-Tonnesson-Fire-blikk-pa-sakprosa.pdf","","","168",1,"[""argumentasjon"",""flerstemmighet"",""populærvitenskap"",""retorikk"",""tekstlingvistikk"",""Sakprosa""]","Ommund 2011-08-15: Hvorfor er bare KLBs bidrag med? Er publikasjonen en redigert bok, eller er det KLB som er redaktør?",NULL
18,8,"1995","Om å være i sannhet og i språket samtidig: Bjørnstjerne Bjørnsons sakprosa","100589391","","Inbook","","","Universitetsforl.","Oslo","","82-00-22687-5","","Virkelighetens forvaltere","","","","","Årbok nr.1, forskningsprosjektet Norsk sakprosa (I)","","","","952075024","151-172",1,"[""forfatterskap"",""muntlige tekster"",""retorikk"",""språk"",""taler"",""Sakprosa""]",NULL,NULL
22,8,"1998","Norsk litteraturhistorie: sakprosa fra 1750 til 1995: Bind 2: 1920-1995","980873479","","Book","","","Universitetsforlaget","Oslo","","82-00-12752-4","","","","","","","Dokumentet er Bind 2 i Norsk litteraturhistorie: sakprosa fra 1750 til 1995. Bind 1 er <a href='902'> Norsk litteraturhistorie: sakprosa fra 1750 til 1995: Bind 1: 1750-1920</i></a>.","","http://urn.nb.no/URN:NBN:no-nb_digibok_2009030204015","","","749",1,"[""historie"",""litteratur"",""sakprosahistorie"",""sakprosateori"",""Sakprosa""]",NULL,NULL
1097,13,"2001","""Reply to all"": om elektronisk kommunikasjon i organisasjoner","011152753","Hovedoppgave","Mastersthesis","","","","Tromsø","82-7570-130-9","","","","","","","Universitetet i Tromsø","Hovedoppgave i sosiologi 2001. Allforsk.","","","","","125",1,"[""digitale tekster"",""e-post"",""organisasjoner""]",NULL,NULL
24,13,"2007","Tekst og identifikasjon i den norske EU-debatten 1993-94: ein modellesaranalyse av tre sentrale tekster","08030799x","","Book","","","H.C.F. Haug","Oslo","","","","","","","","","Korrigert utgave av masteroppgave i nordisk språk, Oslo 2007. 1 lydplate (CD) i lomme.","","http://www.duo.uio.no/sok/work.html?WORKID=68899","","","IX, 149",1,"[""brosjyrer"",""EU""]",NULL,NULL
25,13,"2007","Demokratisk prøverom: analyse av eit ordskifte for born og ungdom gjennom 30 år","071249125","","Book","","","Høgskulen i Volda","Volda","","978-82-7661-254-7","","","","","","","I serie: Skrifter frå Ivar Aasen-instituttet, nr. 23. Om: Norsk barneblad. Opprinnelig levert som forfatterens masteroppgave i nordisk litteratur - Universitetet i Oslo, 2006","","http://www.duo.uio.no/sok/work.html?WORKID=39826","","","191",1,"[""barn og ungdom"",""demokrati""]",NULL,NULL
26,13,"1997","Tekstens mellommenn","971630097","","Book","","","Universitetsforl.","Oslo","","82-00-22874-6","","","","","","","Årbok nr. 3, forskningsprosjektet Norsk Sakprosa (I)","","http://www.nb.no/utlevering/nb/a33936a49ca77690edfe3ab6f5f721b5","","","216 ",1,"[""aviser"",""forskningsformidling"",""læremidler"",""metaforteori""]",NULL,NULL
27,13,"1997","Å skrive essayistisk","","","Inbook","","","Universitetsforl.","Oslo","","82-00-22874-6","","Tekstens mellommenn","","","","","Årbok nr. 3, forskningsprosjektet Norsk Sakprosa (I)","","http://www.nb.no/utlevering/nb/a33936a49ca77690edfe3ab6f5f721b5#&struct=DIV42","","971630097","43-56",1,"[""skriving""]",NULL,NULL
28,13,"1997","Finstemt og flerstemmig formidling","","","Inbook","","","Universitetsforl.","Oslo","","82-00-22874-6","","Tekstens mellommenn","","","","","Årbok nr. 3, forskningsprosjektet Norsk Sakprosa (I)","","http://www.nb.no/utlevering/nb/a33936a49ca77690edfe3ab6f5f721b5#&struct=DIV56","","971630097","57-76",1,"[""forskningsformidling"",""historie""]",NULL,NULL
29,13,"2001","Vitenskapens stemmer: vitenskapsbilder, dialogisme og forskernærvær i fire historiefaglige tekster for allmenheten","011275448","","Book","","","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sakprosa","Oslo","","","","","","","","","Nr. 2 i skriftserien Sakprosa, skrifter fra prosjektmiljøet Norsk sakprosa. Bearbeidet utg. av: Hovedoppgave i nordisk - Universitetet i Oslo, 1998","","https://www.duo.uio.no/handle/10852/26754","","","535",1,"[""dialogisme"",""forskningsformidling"",""historie"",""vitenskapsretorikk""]",NULL,NULL
59,13,"2003","Vitskaplege argumentasjonsstrategiar : Ein komparativ analyse av superstrukturelle konfigurasjonar i medisinske, historiske og språkvitskaplege artiklar","031302939","","Book","","nr 8","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sak­prosa","Oslo","82-90954-23-9","","","","","","","","Nr. 8 i Skriftserien Sakprosa. Opprinnelig levert som forfatterens avhandling (dr. art.)- Universitetet i Bergen, 2001, Bibliografi: s. 251-261","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/8Breivega-Vitskaplege-argumentasjonsstrategiar.pdf","","","271",1,"[""argumentasjon"",""språk"",""vitenskapsretorikk""]",NULL,NULL
1487,14,"2010","Førti år i forskningens tjeneste: fremvoksende naturvitenskapelig og medisinsk forskning i A-magasinet og VG i 1966, 1986, 2006","101663072","","Book","","","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sak­prosa","Oslo","","","","","","","11","","Dokumentet er del av skriftserien Sakprosa - (bind-/heftenr. nr 11)","","","","","97",1,"[""forskningsformidling"",""medisin og helse"",""naturfag/naturvitenskap""]",NULL,NULL
151,8,"2002","Fagfortelling","","","Inbook","","","Norsk sakprosa i samarbeid med Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-21-2","","Teksthistorie: tekstvitenskapelige bidrag","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","030055407","239-254",1,"[""litteraturhistorie""]",NULL,NULL
152,13,"1975","Språket i bruk: en antologi","793009014","","Book","","","Universitetsforlaget","Oslo","","82-00-01319-7","","","","","","","","","","","","126",1,"[""språk"",""språkvitenskap"",""stilistikk""]",NULL,NULL
153,13,"1975","Om stil og stilanalyse","","","Inbook","","","Universitetsforlaget","Oslo","","82-00-01319-7","","Språket i bruk: en antologi","","","","","","","","","793009014","9-26",1,"[""stilistikk""]",NULL,NULL
154,13,"1975","Stilen i norske høymesseprekener","","","Inbook","","","Universitetsforlaget","Oslo","","82-00-01319-7","","Språket i bruk: en antologi","","","","","","","","","793009014","48-70",1,"[""muntlige tekster"",""prekener"",""stilistikk""]",NULL,NULL
146,13,"2002","Writing the History of Texts: A Historian's Perspective","","","Inbook","","","Norsk sakprosa i samarbeid med Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-21-2","","Teksthistorie: tekstvitenskapelige bidrag","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","030055407","73-112",1,"[""forfatterskap"",""historiografi""]",NULL,NULL
67,13,"1982","Et studium i lærebøkenes didaktikk","887034098","","Book","","","Pedagogisk forskningsinstitutt, Universitetet i Oslo","Oslo","","","","","","","","","Bibliografi: s. 174-209.","","","","","209 ",1,"[""didaktikk"",""læremidler""]",NULL,NULL
149,13,"2002","Pressetekstenes sjangerhistorie - et internasjonalt perspektiv","","","Inbook","","","Norsk sakprosa i samarbeid med Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-21-2","","Teksthistorie: tekstvitenskapelige bidrag","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","030055407","215-238",1,"[""historie"",""journalistikk"",""presse"",""sjanger""]",NULL,NULL
150,13,"2002","Norsk lærebokhistorie?","","","Inbook","","","Norsk sakprosa i samarbeid med Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-21-2","","Teksthistorie: tekstvitenskapelige bidrag","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","030055407","255-267",1,"[""historie"",""læremidler""]",NULL,NULL
147,13,"2002","Teksthistorie i lys av en ny filologi","","","Inbook","","","Norsk sakprosa i samarbeid med Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-21-2","","Teksthistorie: tekstvitenskapelige bidrag","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","030055407","113-140",1,"[""filologi"",""historie"",""kulturpolitikk"",""språk"",""teksthistorie""]",NULL,NULL
148,13,"2002","The Diachronicity of Text Norms. A Theory of Genre Formation and Change - illustrated with examples from the text history of Norwegian radio.","","","Inbook","","","Norsk sakprosa i samarbeid med Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-21-2","","Teksthistorie: tekstvitenskapelige bidrag","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","030055407","141-213",1,"[""radio"",""tekstlingvistikk""]",NULL,NULL
145,13,"2002","""Men då turen kom til skriftteikna"" - Skriftkultur og den historiske forståinga av tekstkultur","","","Inbook","","","Norsk sakprosa i samarbeid med Norsk faglitterær forfatter- og oversetterforening","Oslo","","82-90954-21-2","","Teksthistorie: tekstvitenskapelige bidrag","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","030055407","21-72",1,"[""skriftkultur"",""skriving""]",NULL,NULL
137,8,"1990","Fra idé til bok: handbok i forlagsarbeid","900927798","","Book","","","Forleggerforeningen","Oslo","","82-90172-08-7","","","","","","","Ny utg. Bygger på: Fra manus til bok / [utgitt av] Forening forforlagsfolk [og] Den norske forleggerforening. Oslo, 1983.","","","","","240",1,"[""forlagsbransjen"",""håndbøker""]",NULL,NULL
138,13,"1981","Om den norske skrivemåten: eksempler og moteksempler til belysning av nyere norsk retorikk","822027437","","Book","","","Gyldendal","Oslo","","82-05-13049-3","","","","","","","Frittstående forts. av: Om den norske tenkemåten","","","","","205 ",1,"[""retorikk""]",NULL,NULL
139,13,"1993","Textbooks in the kaleidoscope: a critical survey of literature and research on educational texts","931306949","","Book","","","Scandinavian University Press","Oslo","","82-00-21506-7","","","","","","","Bibliografi: s. 396-432","","","","","455 ",1,"[""læremidler""]",NULL,NULL
140,13,"1995","Lesande bønder: litterær kultur i norske allmugesamfunn før 1840","951811789","","Book","","","Universitetsforl.","Oslo","","82-00-22702-2","","","","","","","Bibliografi, s. 317-[443]","","","","","442 ",1,"[""lesing"",""skriving""]",NULL,NULL
141,13,"1983","Norske utredninger 1814-1983: bibliografier og kataloger over offentlige utredninger : ajour pr 1/9 1983","843099372","","Book","","","Universitetsforlaget","Oslo","","82-00-06821-8","","","","","","","Mikrofilmutg. Katalogisert etter omslag.","","","","","22  + 33 mikrofilmkort i lomme",1,"[""bibliografi"",""kataloger"",""utredninger""]","Det fins en nyere utgave (pub_id 12)",NULL
47,13,"1997","Det litterære skattkammer: sakprosaens teori og retorikk","961747838","","Book","","","Samlaget","Oslo","","82-521-4644-9","","","","","","","","","","","","624 ",1,"[""retorikk"",""sakprosadefinisjoner"",""sakprosahistorie"",""sjanger"",""Sakprosa""]",NULL,NULL
48,8,"2002","Hvordan får essaybegrepet mening?: en etnografisk studie av essayforståelser hos ti aktører i det essayistiske feltet","030466326","Hovedoppgave","Mastersthesis","","","","Oslo","","","","","","","","Universitetet i Oslo","Hovedoppgave i nordisk litteraturkunnskap.","","","","","176",1,"[""forfatterskap""]",NULL,NULL
144,13,"2002","Teksthistorie : Tekstvitenskapelige bidrag","","","Inbook","","","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sak­prosa","Oslo","","82-90954-21-2","","Teksthistorie: tekstvitenskapelige bidrag","","","","","Bidrag på norsk og engelsk","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/6Berge-Teksthistorie.pdf","","030055407","5-20",1,"[""filologi"",""historie"",""presse"",""sjanger"",""teksthistorie"",""tekstnormer"",""tekstvitenskap""]",NULL,NULL
50,8,"2006","Bok-Norge: en litteratursosiologisk oversikt","06125908x","","Book","","","Universitetsforl.","Oslo","","978-82-15-01003-8","","","","","3. utg.","","1. utg. 1992","","","","","569 ",1,"[""forfatterskap"",""forlagsbransjen"",""litteratur"",""litteratursosiologi"",""sosiologi""]",NULL,NULL
51,13,"2003","Hele folkets diskurs: en kritisk diskursanalyse av den gode VG-sak","030600537","","Book","","","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sak­prosa","Oslo","82-90954-22-0","","","","","","","","Opprinnelig levert som hovedoppgave i nordisk - Universitetet i Oslo, 2002. Nr. 4 i Skriftserien Sakprosa","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/7Hagvar-Hele-folkets-diskurs.pdf","","","370",1,"[""aviser"",""diskursanalyse""]",NULL,NULL
58,13,"2002","Nynorsk sakprosa 1900-1999: nynorsk skriftkultur sett gjennom den nynorske sakprosaen","030358590","Hovedoppgave","Mastersthesis","","","","Oslo","","","","","","","","Universitetet  i Oslo","Hovedoppgave i nordisk språk - Universitetet i Oslo,  2002","","","","","183 bl.",1,"[""nynorsk"",""skriftkultur"",""Sakprosa""]",NULL,NULL
57,13,"2001","Kan Thomas Mathiesen forsvares? - En vitenskapsretorisk analyse","020094140","","Book","","","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sak­prosa","Oslo","","82-90954-19-0","","","","","","","Nr. 5 i skriftserien Sakprosa, utgitt av forskningsmiljøet Norsk sakprosa ved UiO. Opprinnelig levert som hovedoppgave i nordisk - Universitetet i Oslo, 2001","","http://www.hf.uio.no/iln/forskning/forskergrupper/tekstvitenskap/sakprosa/Skriftserie/Skriftserie_nr5.htm","","","175",1,"[""juss og rettsvesen"",""vitenskapsretorikk"",""retorisk analyse""]",NULL,NULL
60,8,"1972","Dokumentarromanen: fiksjon eller virkelighet?","792069765","Hovedoppgave","Mastersthesis","","","","Trondheim","","","","","","","","Universitetet i Trondheim","Hovedoppgave i nordisk - Universitetet i Trondheim, 1972 I.","","","","","[3], 93 bl.",1,"[""dokumentarlitteratur"",""sjanger"",""skjønnlitteratur""]",NULL,NULL
61,13,"1986","Folkemål og danning: nynorske lærebøker 1867-1915","864205376","","Book","","","Samlaget","Oslo","","82-521-2754-1","","","","","","","","","","","","224 ",1,"[""læremidler"",""nynorsk""]",NULL,NULL
62,13,"1960","Nynorsk sakprosa : Ei essaysamling","032071191","","Book","","","Fabritius","Oslo","","","","","","","","","Dokumentet er Bind 3 i <i>Innsikt og utsyn. Norsk sakprosa</i>. </br> Bind 1 er <a href='63'><i>Individ, arbeid og samfunn</i></a>.</br> Bind 2 er <a href='64'><i>Kunst, kultur, vitenskap</i></a>.","","","","","",1,"[""forfatterskap"",""nynorsk"",""Sakprosa""]",NULL,NULL
63,13,"1955","Individ, arbeid og samfunn","951646788","","Book","","","Fabritius","Oslo","","","","","","","","","Dokumentet er bind 1 i serien <i>Innsikt og utsyn. Norsk sakprosa</i>. </br>Bind 2 er <a href='64'><i>Kunst, kultur, vitenskap</i></a>.</br> Bind 3 er <a href='62'><i>Nynorsk sakprosa : Ei essaysamling</i></a>.","","","","","",1,"[""sakprosahistorie"",""samfunnsfag""]","Ommund 2011-08-15: redaktører eller forfattere?",NULL
64,13,"1956","Kunst, kultur, vitenskap","95164680x","","Book","","","Fabritius","Oslo","","","","","","","","","Dokumentet er bind 2 i <i>Innsikt og utsyn. Norsk sakprosa</i>. </br>Bind 1 er <a href='63'><i>Individ, arbeid og samfunn</i></a>.</br>  Bind 3 er <a href='62'><i>Nynorsk sakprosa : Ei essaysamling</i></a>.","","","","","",1,"[""kunst"",""naturfag/naturvitenskap""]",NULL,NULL
65,13,"1967","Om lærebøker: vurderingskriterier : forskningsoppgaver","754201252","","Book","","","Universitetsforl.","Oslo","","","","","","","","","","","","","","69 ",1,"[""læremidler""]",NULL,NULL
66,13,"1981","""All verdens viten"": litt om leksika gjennom tidene","83222233x","","Book","","","Kunnskapsforl.","Oslo","","","","","","","","","1. utgave Oslo : Aschehoug, 1968. Ajourført utg.","","","","","62 ,[1] bl.",1,"[""oppslagsverk""]",NULL,NULL
68,13,"1961","Den norske politiske brosjyrelitteraturen 1880-1890: ein bibliografi","942949811","","Book","","","Samlaget","Oslo","","","","","","","","","","","","","","61 ",1,"[""bibliografi"",""brosjyrer"",""litteratur""]",NULL,NULL
69,13,"1977","Krigen i våre hyller: Litt om dokumentarlitteraturen 1940–45","","","Article","","31","","","0042-6288","","Vinduet","","4","","","","","","","","","38-42",1,"[""andre verdenskrig"",""dokumentarlitteratur"",""krig"",""litteratur""]",NULL,NULL
70,13,"2006","Tekst.no: strukturer og sjangrer i digitale medier","061085944","","Book","","","Cappelen akademisk forl.","Oslo","","978-82-02-26336-2","","","","","","","2. utg. (1. utg. 2001)","","","","","311",1,"[""digitale tekster"",""sjanger""]",NULL,NULL
71,13,"1982","Kulturarv på formel: elementær litteraturhistorieskrivning i gymnaslærebøker og konversasjonsleksika i Norge fra 1840-årene til 1950-årene, med særlig vekt på Harald Beyers forfatterskap","834035677","Hovedoppgave","Mastersthesis","","","","Bergen","","","","","","","","Universitetet i Bergen","Hovedoppgave i nordisk - Universitetet i Bergen, 1982 II. Har bibliografi.","","","","","261",1,"[""forfatterskap"",""historie"",""litteratur"",""litteraturhistorie"",""oppslagsverk""]",NULL,NULL
72,13,"1981","Middelalderens encyklopedier","39773","","Article","","82","","","0029-2176","","Norsk teologisk tidsskrift","","3","","","","","","","","","153-163",1,"[""oppslagsverk""]",NULL,NULL
73,13,"1988","En Bok for sakens skyld: Norsk faglitterær forfatterforening 1978-1988 : NFF 10 år","884094499","","Book","","","Norsk Faglitterær Forfatterforening","Oslo","","82-90801-00-9","","","","","","","Utgitt av NFF ved Åse Enerstvedt og Egil Børre Johnsen. Katalogisert delvis etter omslaget.","","","","","110",1,"[""foreninger"",""kulturpolitikk""]",NULL,NULL
74,13,"1982","Essayet i Norge: fjorten riss av ein tradisjon","834000776","","Book","","","Samlaget","Oslo","","82-521-2153-5","","","","","","","Har bibliografi.","","","","","249 ",1,"[""litteraturhistorie"",""sakprosahistorie""]",NULL,NULL
75,13,"1988","Retorikk på norsk","884112764","","Book","","","Samlaget","Oslo","","82-521-3125-5","","","","","","","Bibliografi: s. 295-[306].","","","","","313 ",1,"[""retorikk""]",NULL,NULL
76,13,"2004","I møte med hyperteksten: tekstanalyse av telenormobil.no med vekt på tekststruktur og resepsjon","050427407","Hovedoppgave","Mastersthesis","","","","Oslo","","","","","","","","Universitetet i Oslo","Hovedoppgave i nordisk språk - Universitetet i Oslo, 2004","","http://www.duo.uio.no/sok/work.html?WORKID=21806","","","143",1,"[""digitale tekster"",""resepsjonsanalyse"",""resepsjonsteori"",""retorikk"",""semiotikk"",""tekstanalyse""]",NULL,NULL
77,13,"1999","Fra papir til hypermedier på Ekofisk II: en empirisk undersøkelse av to kunnskapskulturers språkbruk og begrepsapparat","000555851","Hovedoppgave","Mastersthesis","","","","Trondheim","","","","","","","","Norges teknisk-naturvitenskapelige universitet","Hovedoppgave i anvendt språkvitenskap - Norges teknisk-naturvitenskapelige universitet, 1999","","","","","114, [32] bl.",1,"[""digitale tekster"",""håndbøker"",""språk""]",NULL,NULL
